あいどる	らんく	ID+p名	すこあ	
春日未来	136位	ID;1000000000000082961グリーゼP	479586	1
春日未来	137位	ID;800000000000002847Wish	473463	1
春日未来	138位	ID;500000000000087126真二	470868	1
春日未来	139位	ID;800000000000000333*'ω'){なぎにゃん†白亜なぎさ☆〕	455407	1
春日未来	140位	ID;600000000000002102しょうっち	454772	1
春日未来	141位	ID;1000000000000058906一番星	452148	1
春日未来	142位	ID;400000000000096981アジュ	445078	1
春日未来	143位	ID;700000000000097191Plmokn	441559	1
春日未来	144位	ID;700000000000083720せのー	430882	1
春日未来	145位	ID;700000000000071627オレンジ	429571	1
春日未来	146位	ID;100000000000078027青森のスーパースター	419925	1
春日未来	147位	ID;12510dai	398567	1
春日未来	148位	ID;1400000000000002189けろべー	383880	1
春日未来	149位	ID;3747だば	382058	1
春日未来	150位	ID;300000000000003395Track&amp;field	372842	1
春日未来	151位	ID;300000000000049644にょろ	369382	1
春日未来	152位	ID;100000000000058785金竹生姜	357494	1
春日未来	153位	ID;700000000000003651リオグランデ	355417	1
春日未来	154位	ID;700000000000102414PIC	354467	1
春日未来	155位	ID;25190いがらす	339114	1
春日未来	156位	ID;300000000000004638AGVAL	326538	1
春日未来	157位	ID;400000000000093185ユキ	320199	1
春日未来	158位	ID;1000000000000002067ヒナっぽい	318161	1
春日未来	159位	ID;800000000000007108サク	304500	1
春日未来	160位	ID;100000000000000714枝豆	295580	1
春日未来	161位	ID;600000000000094437auau	288163	1
春日未来	162位	ID;300000000000002222春菜	285249	1
春日未来	163位	ID;100000000000035818ミツ	283801	1
春日未来	164位	ID;600000000000002558ひっき～	281091	1
春日未来	165位	ID;800000000000053493アンジェラ	280772	1
春日未来	166位	ID;200000000000102675Saki-Ika	280251	1
春日未来	167位	ID;300000000000001831ガオ	279239	1
春日未来	168位	ID;500000000000006014KAI	274958	1
春日未来	169位	ID;1100000000000013516ZUN	273370	1
春日未来	170位	ID;1000000000000045583ゆーき光	264233	1
春日未来	171位	ID;600000000000080431たまめ	263307	1
春日未来	172位	ID;800000000000005075おかでぃ	256844	1
春日未来	173位	ID;16039鷹ため	254999	1
春日未来	174位	ID;1400000000000000404ウメ	250148	1
春日未来	175位	ID;600000000000042822suke@同僚募集中	245907	1
春日未来	176位	ID;700000000000080607奏P	244049	1
春日未来	177位	ID;7141NS	243296	1
春日未来	178位	ID;800000000000001256きりつネＬ	237992	1
春日未来	179位	ID;700000000000090843んん	223809	1
春日未来	180位	ID;300000000000053408Raki	220540	1
春日未来	181位	ID;400000000000002922グレータ	215077	1
春日未来	182位	ID;800000000000022399すが	207874	1
春日未来	183位	ID;100000000000033316ミー助	174182	1
春日未来	184位	ID;800000000000007922DAICHI	172565	1
春日未来	185位	ID;600000000000080144シュート	169144	1
春日未来	186位	ID;1000000000000018418ハガー市長	165172	1
春日未来	187位	ID;1400000000000000122タラ	165082	1
春日未来	188位	ID;700000000000096802蒼海P	161980	1
春日未来	189位	ID;900000000000077329こば	160507	1
春日未来	190位	ID;800000000000075188餓凰	160302	1
春日未来	191位	ID;100000000000058752aim_noob	156987	1
春日未来	192位	ID;400000000000062797ロンロン	154836	1
春日未来	193位	ID;1200000000000005682ヨシぴー	153483	1
春日未来	194位	ID;300000000000035578サテン	153421	1
春日未来	195位	ID;900000000000031720K	146618	1
春日未来	196位	ID;1400000000000002603あーばん	142033	1
春日未来	197位	ID;100000000000097463イシカカ	137184	1
春日未来	198位	ID;600000000000072850古瀬滝	132794	1
春日未来	199位	ID;1100000000000013141×昌幸	126180	1
春日未来	200位	ID;1500000000000081187fact'-	125280	1
春日未来	201位	ID;1100000000000102079NinjaSlayer	120745	1
春日未来	202位	ID;300000000000075857tyou	117972	1
春日未来	203位	ID;700000000000000753蒋介石	117969	1
春日未来	204位	ID;1400000000000093452roa	115002	1
春日未来	205位	ID;30241カズ	114042	1
春日未来	206位	ID;100000000000005842板口久雄	112747	1
春日未来	207位	ID;800000000000101626るーと	112692	1
春日未来	208位	ID;300000000000080388おいかぜ	112427	1
春日未来	209位	ID;1100000000000095423ランディ	107920	1
春日未来	210位	ID;700000000000100186日本酒	107133	1
春日未来	211位	ID;1000000000000018683闇呑	105605	1
春日未来	212位	ID;1300000000000082928bomdom	104591	1
春日未来	213位	ID;1200000000000001415SFTS	103097	1
春日未来	214位	ID;200000000000008532ゆうすけ	102414	1
春日未来	215位	ID;1000000000000003654普通くんP	101569	1
春日未来	216位	ID;1200000000000006703ねね	99039	1
春日未来	217位	ID;200000000000081534どれいん	98624	1
春日未来	218位	ID;900000000000006767オマリ	97176	1
春日未来	219位	ID;31014ラフィカ	95930	1
春日未来	220位	ID;1200000000000009305べいそん	94650	1
春日未来	221位	ID;1200000000000054450eskpassenger	92747	1
春日未来	222位	ID;700000000000097876キース	92249	1
春日未来	223位	ID;500000000000052454Sui	90321	1
春日未来	224位	ID;200000000000057299土竜	88947	1
春日未来	225位	ID;1300000000000004246ある	88535	1
春日未来	226位	ID;1100000000000055414アレグロ	88179	1
春日未来	227位	ID;100000000000008944オーバー40	87662	1
春日未来	228位	ID;1200000000000083808アメリカかぶれ	86003	1
春日未来	229位	ID;1000000000000080139あああああ	85490	1
春日未来	230位	ID;100000000000083846せーぼ	85161	1
春日未来	231位	ID;600000000000096878CYANGE	80271	1
春日未来	232位	ID;1000000000000012654KOT	79540	1
春日未来	233位	ID;800000000000051668きくぱすてる	78727	1
春日未来	234位	ID;1500000000000076295アルスタ	78261	1
春日未来	235位	ID;1400000000000080801アセラ	77373	1
春日未来	236位	ID;1200000000000015880kyoka	77329	1
春日未来	237位	ID;1000000000000097336なぎさ	76389	1
春日未来	238位	ID;1400000000000048149フル・フロンタルTake3(ドリ仲間募る\(//∇//)\起床時々寝落ち有り	76044	1
春日未来	239位	ID;300000000000080609イアハート	75799	1
春日未来	240位	ID;56164山手車掌	74537	1
春日未来	241位	ID;400000000000002732ryous	73339	1
春日未来	242位	ID;200000000000038973リタP	73062	1
春日未来	243位	ID;1200000000000075157ハル	72859	1
春日未来	244位	ID;700000000000053595kazu093	72804	1
春日未来	245位	ID;100000000000006471March	72352	1
春日未来	246位	ID;400000000000008068たかちゅー	70619	1
春日未来	247位	ID;95072アスパー	70571	1
春日未来	248位	ID;1500000000000094103SamMakP	70416	1
春日未来	249位	ID;600000000000050913しいたけ	65615	1
春日未来	250位	ID;300000000000100370みるはうすと	63083	1
春日未来	251位	ID;1500000000000098153YMZK	63079	1
春日未来	252位	ID;200000000000083872koushi@P	62733	1
春日未来	253位	ID;200000000000004340はお	62646	1
春日未来	254位	ID;1400000000000026239きゅーぶ	62609	1
春日未来	255位	ID;1400000000000099553よーせー	62346	1
春日未来	256位	ID;100000000000100021nubilum	60917	1
春日未来	257位	ID;800000000000071522ななつ	60735	1
春日未来	258位	ID;1300000000000062198増桝はるかさん	60079	1
春日未来	259位	ID;800000000000005624TOGO	59589	1
春日未来	260位	ID;1300000000000095402ナギサ	59207	1
春日未来	261位	ID;1500000000000082241レオポン	57092	1
春日未来	262位	ID;1100000000000083382鷹	56450	1
春日未来	263位	ID;800000000000008057リョージ	56273	1
春日未来	264位	ID;1300000000000072469レオン	55775	1
春日未来	265位	ID;700000000000098368タッチャン	55743	1
春日未来	266位	ID;300000000000052003ユリシズ	55055	1
春日未来	267位	ID;1300000000000029461ユメヨイ	54879	1
春日未来	268位	ID;1028けＥすけ	53733	1
春日未来	269位	ID;1500000000000013549ハット	53416	1
春日未来	270位	ID;400000000000081931宮ちゃん	53368	1
春日未来	271位	ID;1400000000000097158kurutoga	53326	1
春日未来	272位	ID;200000000000032507ノト	51749	1
春日未来	273位	ID;1100000000000018983トモ	50929	1
春日未来	274位	ID;1500000000000096931オウジュ	50637	1
春日未来	275位	ID;1400000000000029744けいた	49805	1
春日未来	276位	ID;97222harunya	49473	1
春日未来	277位	ID;300000000000097249Main	49301	1
春日未来	278位	ID;800000000000031872銀河	48947	1
春日未来	279位	ID;1500000000000051734うえし	48551	1
春日未来	280位	ID;800000000000085332イシカワ	48532	1
春日未来	281位	ID;400000000000094938バッシー単身赴任、終了	48359	1
春日未来	282位	ID;1200000000000083226とりっP	46593	1
春日未来	283位	ID;15000000000000749830623	45273	1
春日未来	284位	ID;900000000000097366荒野の渡り鳥	44512	1
春日未来	285位	ID;1100000000000100245Rin 	43735	1
春日未来	286位	ID;400000000000008942KKND@同僚募集	43654	1
春日未来	287位	ID;300000000000095529ツッチー	43577	1
春日未来	288位	ID;1100000000000085550マリオ・イグレシアス	43356	1
春日未来	289位	ID;1000000000000027122そら	42564	1
春日未来	290位	ID;1400000000000099489レイ	42518	1
春日未来	291位	ID;300000000000100140Redbox	42207	1
春日未来	292位	ID;500000000000014022ＥＶＥ	40557	1
春日未来	293位	ID;1500000000000086678morisoba	40513	1
春日未来	294位	ID;400000000000079435佐天使	40287	1
春日未来	295位	ID;900000000000080059こふきいも	40154	1
春日未来	296位	ID;900000000000028685yuta	39896	1
春日未来	297位	ID;400000000000085341ふく	39782	1
春日未来	298位	ID;900000000000000080出雲桜	38979	1
春日未来	299位	ID;500000000000101276コウ	38330	1
春日未来	300位	ID;1400000000000079694せんごく	37839	1

最上静香	1位	ID;1300000000000000239さりゅーと	3000000	1
最上静香	2位	ID;57184カシマシ	2787563	1
最上静香	3位	ID;1200000000000007097Den [今迄道場御利用感謝♪]	2616865	1
最上静香	4位	ID;1500000000000051980枝花 @らうめん募集	2554263	1
最上静香	5位	ID;800000000000003486ルカ	2502297	1
最上静香	6位	ID;800000000000097998i	2411573	1
最上静香	7位	ID;400000000000091746鈴	2307243	1
最上静香	8位	ID;1300000000000097678フジータ	2181717	1
最上静香	9位	ID;100000000000051072ごつと	2049964	1
最上静香	10位	ID;800000000000008621有得	2022487	1
最上静香	11位	ID;200000000000007542さいとぅー	2011506	1
最上静香	12位	ID;1200000000000000013おかゆ	2004854	1
最上静香	13位	ID;900000000000074091プリズニャン	2004261	1
最上静香	14位	ID;56998kyou	1923378	1
最上静香	15位	ID;400000000000000323Amuru	1892327	1
最上静香	16位	ID;500000000000052343悠里@社蓄戦士	1869290	1
最上静香	17位	ID;1000000000000003560らるふぁ	1839245	1
最上静香	18位	ID;1300000000000053740風次郎	1816104	1
最上静香	19位	ID;600000000000000511立花	1808444	1
最上静香	20位	ID;400000000000037245くろり	1779588	1
最上静香	21位	ID;500000000000051086ミーツ	1768250	1
最上静香	22位	ID;1000000000000003654普通くんP	1745046	1
最上静香	23位	ID;1200000000000052384ケンプトン	1742476	1
最上静香	24位	ID;300000000000078500Pat@同僚募集中	1712932	1
最上静香	25位	ID;200000000000009655ぴぴ	1678916	1
最上静香	26位	ID;200000000000097350chirimen	1677665	1
最上静香	27位	ID;1500000000000082264poke	1675534	1
最上静香	28位	ID;1400000000000019551ヤマノウエ	1640166	1
最上静香	29位	ID;800000000000002137天パ少年	1620811	1
最上静香	30位	ID;300000000000028506capchar	1607160	1
最上静香	31位	ID;62161mlZ2	1602641	1
最上静香	32位	ID;1500000000000019976Rumboo	1581809	1
最上静香	33位	ID;1000000000000056678ライス	1576156	1
最上静香	34位	ID;200000000000001419T-M:アークウィザード(爆裂魔法専門)	1570396	1
最上静香	35位	ID;700000000000057048HARTMAN08	1541948	1
最上静香	36位	ID;900000000000000347ぷりに@ありがとうThank you	1541630	1
最上静香	37位	ID;400000000000037159綾鷹	1536081	1
最上静香	38位	ID;1000000000000013425ひろ	1528656	1
最上静香	39位	ID;100000000000007154サカショウ	1526456	1
最上静香	40位	ID;500000000000092034ポピハム	1511032	1
最上静香	41位	ID;700000000000008773いんがん	1508625	1
最上静香	42位	ID;700000000000000688フラジャイル@しずしほ	1500286	1
最上静香	43位	ID;300000000000073915まき	1500136	1
最上静香	44位	ID;900000000000011246はやし	1494571	1
最上静香	45位	ID;1100000000000099902ドリアンマン	1481563	1
最上静香	46位	ID;100000000000050307まめ	1478068	1
最上静香	47位	ID;500000000000007335toproad	1474314	1
最上静香	48位	ID;1400000000000055732かたたたき	1457416	1
最上静香	49位	ID;1500000000000051173ふぇぶ	1431151	1
最上静香	50位	ID;400000000000080171◯	1426968	1
最上静香	51位	ID;1000000000000056825古葉。	1422454	1
最上静香	52位	ID;1500000000000098413ペテロ	1413140	1
最上静香	53位	ID;1300000000000061652はたけやま	1404491	1
最上静香	54位	ID;1000000000000013696ヤキイモ	1401143	1
最上静香	55位	ID;46184ごのじ@お疲れ様でした	1365723	1
最上静香	56位	ID;98130くすぽる	1363020	1
最上静香	57位	ID;500000000000049856ミヤッチＰ	1354622	1
最上静香	58位	ID;500000000000021931真水	1353748	1
最上静香	59位	ID;900000000000100162すい	1349450	1
最上静香	60位	ID;1000000000000019902カナタ	1340370	1
最上静香	61位	ID;300000000000002517ヒロ	1335780	1
最上静香	62位	ID;300000000000001590ぶすじま	1296147	1
最上静香	63位	ID;600000000000001887アクセル	1277121	1
最上静香	64位	ID;300000000000102574くもり	1264827	1
最上静香	65位	ID;196しゃるるP	1240108	1
最上静香	66位	ID;900000000000052125くんつじ	1238844	1
最上静香	67位	ID;300000000000099130念兔	1213306	1
最上静香	68位	ID;400000000000050669ライサン	1209680	1
最上静香	69位	ID;200000000000026379ウィーク	1204541	1
最上静香	70位	ID;1500000000000100296take	1190495	1
最上静香	71位	ID;1200000000000003409るー	1190026	1
最上静香	72位	ID;200000000000056210LUCK	1189917	1
最上静香	73位	ID;1500000000000006871まこぴー	1155791	1
最上静香	74位	ID;500000000000004548Akaba	1094211	1
最上静香	75位	ID;1200000000000034836ゲリラ豪雨	1089916	1
最上静香	76位	ID;300000000000096249Manbou	1071338	1
最上静香	77位	ID;1100000000000054343りんゆーP	1060707	1
最上静香	78位	ID;1100000000000008362てすと	1047789	1
最上静香	79位	ID;1300000000000057141ガースー	1045118	1
最上静香	80位	ID;100000000000078065悠希	1042254	1
最上静香	81位	ID;100000000000004451taka	1027166	1
最上静香	82位	ID;1100000000000004086ティー	1006452	1
最上静香	83位	ID;1000000000000007935たおやか	1004647	1
最上静香	84位	ID;1000000000000082875To_mo_ka@P	1001692	1
最上静香	85位	ID;500000000000079954ここのえーさく@BMD相互埋め希望	1001419	1
最上静香	86位	ID;1300000000000101145ろでお	987837	1
最上静香	87位	ID;900000000000019968ふぁぼ原	970854	1
最上静香	88位	ID;400000000000051331ストラト	959973	1
最上静香	89位	ID;300000000000005596なまケモノ	957436	1
最上静香	90位	ID;600000000000048573あやち	956984	1
最上静香	91位	ID;1300000000000054427kksm	942524	1
最上静香	92位	ID;800000000000005026みょん提督	940603	1
最上静香	93位	ID;100000000000009913トッティ	938166	1
最上静香	94位	ID;1500000000000002897じゃが	930919	1
最上静香	95位	ID;300000000000014059ころな	930238	1
最上静香	96位	ID;1400000000000099852ハチミツボーイ	925312	1
最上静香	97位	ID;53476マッツ	900215	1
最上静香	98位	ID;900000000000061590カツカレーＰ	896673	1
最上静香	99位	ID;85782密パクP	868933	1
最上静香	100位	ID;800000000000007714竹の子の子	845985	1
最上静香	101位	ID;1200000000000080341ミシェル	844214	1
最上静香	102位	ID;900000000000002983はにまる	820209	1
最上静香	103位	ID;1500000000000004960おふね	816324	1
最上静香	104位	ID;900000000000083358斉藤P	803688	1
最上静香	105位	ID;700000000000055850あずにゃら	795839	1
最上静香	106位	ID;500000000000026888すぴねる	784422	1
最上静香	107位	ID;500000000000081859はっくしょん8801	782660	1
最上静香	108位	ID;1100000000000000928AGP	781406	1
最上静香	109位	ID;1300000000000080057スピルバーグP	769704	1
最上静香	110位	ID;500000000000055491しお	758675	1
最上静香	111位	ID;400000000000005659ちゃいろ	748379	1
最上静香	112位	ID;700000000000094884Tomas	711255	1
最上静香	113位	ID;700000000000016950くれない	695707	1
最上静香	114位	ID;600000000000051884きやまん	687197	1
最上静香	115位	ID;400000000000046229一色	643833	1
最上静香	116位	ID;100000000000009274カツ丼	631859	1
最上静香	117位	ID;30000000000009685946cha	618906	1
最上静香	118位	ID;200000000000010972waisi	613018	1
最上静香	119位	ID;500000000000003834オモイカネ	604232	1
最上静香	120位	ID;600000000000004350ねこの	603439	1
最上静香	121位	ID;1500000000000055162武熊 豊	594214	1
最上静香	122位	ID;1300000000000007143ごっさむ	590303	1
最上静香	123位	ID;1100000000000081815kazu	590041	1
最上静香	124位	ID;1000000000000000411MUFC	551427	1
最上静香	125位	ID;1100000000000003695うなじ	538247	1
最上静香	126位	ID;500000000000073287よもさか	530459	1
最上静香	127位	ID;1000000000000024627だいすけまる	510709	1
最上静香	128位	ID;800000000000051999さく	508437	1
最上静香	129位	ID;4168栗悟飯	480997	1
最上静香	130位	ID;1500000000000000880ザキザキ	479883	1
最上静香	131位	ID;1300000000000052044りゅーし	474426	1
最上静香	132位	ID;1200000000000021780うな	464361	1
最上静香	133位	ID;1500000000000005059リーセ	464291	1
最上静香	134位	ID;100000000000051002√1/2	459068	1
最上静香	135位	ID;900000000000008706黒兎	454767	1
最上静香	136位	ID;100000000000000052司波達也	450732	1
最上静香	137位	ID;1500000000000005363わだ	449607	1
最上静香	138位	ID;1400000000000005440ＤＯＯ	448839	1
最上静香	139位	ID;200000000000001270DiriaP	447671	1
最上静香	140位	ID;400000000000078588スローロリスくん	444342	1
最上静香	141位	ID;400000000000003416なごみ	435839	1
最上静香	142位	ID;1200000000000074474ぴろめぐ	422560	1
最上静香	143位	ID;1200000000000003450tomo	408435	1
最上静香	144位	ID;800000000000002247ユニロデ	403534	1
最上静香	145位	ID;100000000000015599双見冬馬	401259	1
最上静香	146位	ID;1000000000000019095山橋士郎P	398789	1
最上静香	147位	ID;1000000000000093268練馬区民	388156	1
最上静香	148位	ID;300000000000075362DMN@同僚募集中	386837	1
最上静香	149位	ID;400000000000061227la_tea	372016	1
最上静香	150位	ID;1300000000000093624おりびえP	362663	1
最上静香	151位	ID;1100000000000007394龍鹿	362598	1
最上静香	152位	ID;200000000000074970megumu	345005	1
最上静香	153位	ID;1400000000000021601geldwald	322683	1
最上静香	154位	ID;100000000000050965らぶちは	307491	1
最上静香	155位	ID;700000000000078063キムキム	307435	1
最上静香	156位	ID;400000000000051282カケハ	302788	1
最上静香	157位	ID;76428ぶれ	297947	1
最上静香	158位	ID;1100000000000024017mikeneko	295413	1
最上静香	159位	ID;94028DISK3	293320	1
最上静香	160位	ID;300000000000004967藤井セラ	289566	1
最上静香	161位	ID;400000000000099475いなづき	287648	1
最上静香	162位	ID;1300000000000003785しんたろー	287581	1
最上静香	163位	ID;1400000000000055733ベルカ	280718	1
最上静香	164位	ID;400000000000026317李	279783	1
最上静香	165位	ID;1200000000000000113やきそば	271104	1
最上静香	166位	ID;924みーやP	270196	1
最上静香	167位	ID;800000000000095978なお	266170	1
最上静香	168位	ID;700000000000081153echiu	264261	1
最上静香	169位	ID;1100000000000004650カズマ	262319	1
最上静香	170位	ID;149はる	259356	1
最上静香	171位	ID;300000000000031878D．D	253055	1
最上静香	172位	ID;800000000000009990楠桜	248206	1
最上静香	173位	ID;200000000000086042ケニーG	245783	1
最上静香	174位	ID;400000000000003028ジュンヤ	242984	1
最上静香	175位	ID;1000000000000057498ラローン	242048	1
最上静香	176位	ID;1300000000000000890もあい	233711	1
最上静香	177位	ID;600000000000000485ザクロ	232284	1
最上静香	178位	ID;1300000000000003793こてつ	230297	1
最上静香	179位	ID;1000000000000047303ザゾリア博士	229119	1
最上静香	180位	ID;300000000000005409ねこじろう	227139	1
最上静香	181位	ID;1000000000000076312毬尻尾	217622	1
最上静香	182位	ID;1500000000000053581すかい	217616	1
最上静香	183位	ID;900000000000022986いわし	214375	1
最上静香	184位	ID;100000000000036531アンテナ	213167	1
最上静香	185位	ID;100000000000009163カズ	212043	1
最上静香	186位	ID;900000000000052518ＳＨＯ	211768	1
最上静香	187位	ID;300000000000096222飛来(同僚募集中です!)	206210	1
最上静香	188位	ID;1200000000000101297ナビ	203410	1
最上静香	189位	ID;300000000000081526功（よし)P	201784	1
