チーム春日未来51位	22341 pt
チーム最上静香174位	2882 pt
チーム最上静香175位	2869 pt
チーム最上静香176位	2843 pt
チーム最上静香177位	2843 pt
チーム最上静香178位	2831 pt
チーム最上静香179位	2811 pt
チーム最上静香180位	2760 pt
チーム最上静香191位	2447 pt
チーム最上静香192位	2382 pt
チーム最上静香193位	2349 pt
チーム最上静香194位	2338 pt
チーム最上静香195位	2285 pt
チーム最上静香196位	2258 pt
チーム最上静香197位	2139 pt
チーム最上静香198位	2097 pt
チーム最上静香199位	2081 pt
チーム最上静香200位	2037 pt
チーム最上静香211位	1668 pt
チーム最上静香212位	1664 pt
チーム最上静香213位	1653 pt
チーム最上静香214位	1652 pt
チーム最上静香215位	1616 pt
チーム最上静香216位	1601 pt
チーム最上静香217位	1585 pt
チーム最上静香218位	1564 pt
チーム最上静香219位	1562 pt
チーム最上静香220位	1549 pt
チーム最上静香231位	1333 pt
チーム最上静香232位	1301 pt
チーム最上静香233位	1282 pt
チーム最上静香234位	1246 pt
チーム最上静香235位	1227 pt
チーム最上静香236位	1224 pt
チーム最上静香237位	1217 pt
チーム最上静香238位	1213 pt
チーム最上静香239位	1185 pt
チーム最上静香240位	1145 pt
チーム最上静香251位	1028 pt
チーム最上静香252位	1019 pt
チーム最上静香253位	1004 pt
チーム最上静香254位	999 pt
チーム最上静香255位	987 pt
チーム最上静香256位	986 pt
チーム最上静香257位	975 pt
チーム最上静香258位	974 pt
チーム最上静香259位	972 pt
チーム最上静香260位	967 pt
チーム最上静香271位	824 pt
チーム最上静香272位	816 pt
チーム最上静香273位	797 pt
チーム最上静香274位	793 pt
チーム最上静香275位	762 pt
チーム最上静香276位	760 pt
チーム最上静香277位	753 pt
チーム最上静香278位	738 pt
チーム最上静香279位	737 pt
チーム最上静香280位	735 pt
チーム最上静香291位	689 pt
チーム最上静香292位	677 pt
チーム最上静香293位	669 pt
チーム最上静香294位	659 pt
チーム最上静香295位	646 pt
チーム最上静香296位	643 pt
チーム最上静香297位	641 pt
チーム最上静香298位	641 pt
チーム最上静香299位	641 pt
チーム最上静香300位	638 pt
チーム伊吹翼51位	16308 pt
チーム伊吹翼52位	15861 pt
チーム伊吹翼53位	15697 pt
チーム伊吹翼54位	14485 pt
チーム伊吹翼55位	13749 pt
チーム伊吹翼56位	13499 pt
チーム伊吹翼57位	13477 pt
チーム伊吹翼58位	13006 pt
チーム伊吹翼59位	12883 pt
チーム伊吹翼60位	12816 pt
チーム伊吹翼71位	9960 pt
チーム伊吹翼72位	9815 pt
チーム伊吹翼73位	9257 pt
チーム伊吹翼74位	8996 pt
チーム伊吹翼75位	8950 pt
チーム伊吹翼76位	8777 pt
チーム伊吹翼77位	8073 pt
チーム伊吹翼78位	7634 pt
チーム伊吹翼79位	7631 pt
チーム伊吹翼80位	7476 pt
チーム伊吹翼91位	6356 pt
チーム伊吹翼92位	6346 pt
チーム伊吹翼93位	6301 pt
チーム伊吹翼94位	6294 pt
チーム伊吹翼95位	6065 pt
チーム伊吹翼96位	5979 pt
チーム伊吹翼97位	5871 pt
チーム伊吹翼98位	5844 pt
チーム伊吹翼99位	5644 pt
チーム伊吹翼100位	5596 pt
チーム伊吹翼111位	4980 pt
チーム伊吹翼112位	4934 pt
チーム伊吹翼113位	4682 pt
チーム伊吹翼114位	4674 pt
チーム伊吹翼115位	4572 pt
チーム伊吹翼116位	4489 pt
チーム伊吹翼117位	4432 pt
チーム伊吹翼118位	4429 pt
チーム伊吹翼119位	4408 pt
チーム伊吹翼120位	4325 pt
チーム伊吹翼131位	3479 pt
チーム伊吹翼132位	3456 pt
チーム伊吹翼133位	3401 pt
チーム伊吹翼134位	3373 pt
チーム伊吹翼135位	3338 pt
チーム伊吹翼136位	3235 pt
チーム伊吹翼137位	3090 pt
チーム伊吹翼138位	3033 pt
チーム伊吹翼139位	3014 pt
チーム伊吹翼140位	2981 pt
チーム伊吹翼151位	2487 pt
チーム伊吹翼152位	2471 pt
チーム伊吹翼153位	2458 pt
チーム伊吹翼154位	2437 pt
チーム伊吹翼155位	2413 pt
チーム伊吹翼156位	2398 pt
チーム伊吹翼157位	2382 pt
チーム伊吹翼158位	2378 pt
チーム伊吹翼159位	2366 pt
チーム伊吹翼160位	2353 pt
チーム伊吹翼171位	1976 pt
チーム伊吹翼172位	1941 pt
チーム伊吹翼173位	1865 pt
チーム伊吹翼174位	1824 pt
チーム伊吹翼175位	1822 pt
チーム伊吹翼176位	1810 pt
チーム伊吹翼177位	1773 pt
チーム伊吹翼178位	1763 pt
チーム伊吹翼179位	1760 pt
チーム伊吹翼180位	1746 pt
チーム伊吹翼191位	1364 pt
チーム伊吹翼192位	1344 pt
チーム伊吹翼193位	1329 pt
チーム伊吹翼194位	1326 pt
チーム伊吹翼195位	1322 pt
チーム伊吹翼196位	1314 pt
チーム伊吹翼197位	1283 pt
チーム伊吹翼198位	1281 pt
チーム伊吹翼199位	1271 pt
チーム伊吹翼200位	1270 pt
チーム伊吹翼211位	1060 pt
チーム伊吹翼212位	1018 pt
チーム伊吹翼213位	975 pt
チーム伊吹翼214位	967 pt
チーム伊吹翼215位	956 pt
チーム伊吹翼216位	949 pt
チーム伊吹翼217位	944 pt
チーム伊吹翼218位	942 pt
チーム伊吹翼219位	936 pt
チーム伊吹翼220位	913 pt
チーム伊吹翼231位	808 pt
チーム伊吹翼232位	801 pt
チーム伊吹翼233位	798 pt
チーム伊吹翼234位	784 pt
チーム伊吹翼235位	750 pt
チーム伊吹翼236位	748 pt
チーム伊吹翼237位	743 pt
チーム伊吹翼238位	726 pt
チーム伊吹翼239位	709 pt
チーム伊吹翼240位	692 pt
チーム伊吹翼251位	609 pt
チーム伊吹翼252位	595 pt
チーム伊吹翼253位	578 pt
チーム伊吹翼254位	573 pt
チーム伊吹翼255位	570 pt
チーム伊吹翼256位	567 pt
チーム伊吹翼257位	566 pt
チーム伊吹翼258位	566 pt
チーム伊吹翼259位	563 pt
チーム伊吹翼260位	558 pt
チーム伊吹翼271位	478 pt
チーム伊吹翼272位	474 pt
チーム伊吹翼273位	464 pt
チーム伊吹翼274位	463 pt
チーム伊吹翼275位	457 pt
チーム伊吹翼276位	456 pt
チーム伊吹翼277位	435 pt
チーム伊吹翼278位	435 pt
チーム伊吹翼279位	435 pt
チーム伊吹翼280位	433 pt
チーム伊吹翼291位	375 pt
チーム伊吹翼292位	364 pt
チーム伊吹翼293位	364 pt
チーム伊吹翼294位	359 pt
チーム伊吹翼295位	357 pt
チーム伊吹翼296位	357 pt
チーム伊吹翼297位	350 pt
チーム伊吹翼298位	342 pt
チーム伊吹翼299位	341 pt
チーム伊吹翼300位	341 pt
チーム田中琴葉51位	42174 pt
チーム田中琴葉52位	41652 pt
チーム田中琴葉53位	40156 pt
チーム田中琴葉54位	38666 pt
チーム田中琴葉55位	38395 pt
チーム田中琴葉56位	36377 pt
チーム田中琴葉57位	35359 pt
チーム田中琴葉58位	34275 pt
チーム田中琴葉59位	31572 pt
チーム田中琴葉60位	29529 pt
チーム田中琴葉71位	25576 pt
チーム田中琴葉72位	25339 pt
チーム田中琴葉73位	24880 pt
チーム田中琴葉74位	24811 pt
チーム田中琴葉75位	24718 pt
チーム田中琴葉76位	24366 pt
チーム田中琴葉77位	23609 pt
チーム田中琴葉78位	23433 pt
チーム田中琴葉79位	23194 pt
チーム田中琴葉80位	23144 pt
チーム田中琴葉91位	18970 pt
チーム田中琴葉92位	18152 pt
チーム田中琴葉93位	17139 pt
チーム田中琴葉94位	15629 pt
チーム田中琴葉95位	15577 pt
チーム田中琴葉96位	15444 pt
チーム田中琴葉97位	15413 pt
チーム田中琴葉98位	15121 pt
チーム田中琴葉99位	14908 pt
チーム田中琴葉100位	14835 pt
チーム田中琴葉111位	12294 pt
チーム田中琴葉112位	12271 pt
チーム田中琴葉113位	11945 pt
チーム田中琴葉114位	11817 pt
チーム田中琴葉115位	11553 pt
チーム田中琴葉116位	10866 pt
チーム田中琴葉117位	10602 pt
チーム田中琴葉118位	10531 pt
チーム田中琴葉119位	10377 pt
チーム田中琴葉120位	10218 pt
チーム田中琴葉131位	7815 pt
チーム田中琴葉132位	7814 pt
チーム田中琴葉133位	7791 pt
チーム田中琴葉134位	7577 pt
チーム田中琴葉135位	7330 pt
チーム田中琴葉136位	7295 pt
チーム田中琴葉137位	7244 pt
チーム田中琴葉138位	7175 pt
チーム田中琴葉139位	7083 pt
チーム田中琴葉140位	7056 pt
チーム田中琴葉151位	5846 pt
チーム田中琴葉152位	5665 pt
チーム田中琴葉153位	5644 pt
チーム田中琴葉154位	5506 pt
チーム田中琴葉155位	5503 pt
チーム田中琴葉156位	5176 pt
チーム田中琴葉157位	5070 pt
チーム田中琴葉158位	4985 pt
チーム田中琴葉159位	4910 pt
チーム田中琴葉160位	4862 pt
チーム田中琴葉171位	4475 pt
チーム田中琴葉172位	4401 pt
チーム田中琴葉173位	4386 pt
チーム田中琴葉174位	4299 pt
チーム田中琴葉175位	4283 pt
チーム田中琴葉176位	4192 pt
チーム田中琴葉177位	4172 pt
チーム田中琴葉178位	4167 pt
チーム田中琴葉179位	4132 pt
チーム田中琴葉180位	4125 pt
チーム田中琴葉191位	3667 pt
チーム田中琴葉192位	3618 pt
チーム田中琴葉193位	3613 pt
チーム田中琴葉194位	3594 pt
チーム田中琴葉195位	3529 pt
チーム田中琴葉196位	3483 pt
チーム田中琴葉197位	3462 pt
チーム田中琴葉198位	3460 pt
チーム田中琴葉199位	3458 pt
チーム田中琴葉200位	3458 pt
チーム田中琴葉211位	3092 pt
チーム田中琴葉212位	3018 pt
チーム田中琴葉213位	2988 pt
チーム田中琴葉214位	2985 pt
チーム田中琴葉215位	2929 pt
チーム田中琴葉216位	2918 pt
チーム田中琴葉217位	2896 pt
チーム田中琴葉218位	2871 pt
チーム田中琴葉219位	2856 pt
チーム田中琴葉220位	2849 pt
チーム田中琴葉231位	2477 pt
チーム田中琴葉232位	2431 pt
チーム田中琴葉233位	2382 pt
チーム田中琴葉234位	2354 pt
チーム田中琴葉235位	2348 pt
チーム田中琴葉236位	2314 pt
チーム田中琴葉237位	2242 pt
チーム田中琴葉238位	2229 pt
チーム田中琴葉239位	2223 pt
チーム田中琴葉240位	2174 pt
チーム田中琴葉251位	1966 pt
チーム田中琴葉252位	1964 pt
チーム田中琴葉253位	1855 pt
チーム田中琴葉254位	1849 pt
チーム田中琴葉255位	1840 pt
チーム田中琴葉256位	1814 pt
チーム田中琴葉257位	1814 pt
チーム田中琴葉258位	1756 pt
チーム田中琴葉259位	1716 pt
チーム田中琴葉260位	1682 pt
チーム田中琴葉271位	1546 pt
チーム田中琴葉272位	1545 pt
チーム田中琴葉273位	1537 pt
チーム田中琴葉274位	1514 pt
チーム田中琴葉275位	1484 pt
チーム田中琴葉276位	1466 pt
チーム田中琴葉277位	1445 pt
チーム田中琴葉278位	1437 pt
チーム田中琴葉279位	1415 pt
チーム田中琴葉280位	1403 pt
チーム田中琴葉291位	1296 pt
チーム田中琴葉292位	1280 pt
チーム田中琴葉293位	1279 pt
チーム田中琴葉294位	1278 pt
チーム田中琴葉295位	1270 pt
チーム田中琴葉296位	1269 pt
チーム田中琴葉297位	1268 pt
チーム田中琴葉298位	1259 pt
チーム田中琴葉299位	1231 pt
チーム田中琴葉300位	1228 pt
チーム島原エレナ51位	10722 pt
チーム島原エレナ52位	10422 pt
チーム島原エレナ53位	9643 pt
チーム島原エレナ54位	9403 pt
チーム島原エレナ55位	9207 pt
チーム島原エレナ56位	9148 pt
チーム島原エレナ57位	8975 pt
チーム島原エレナ58位	8473 pt
チーム島原エレナ59位	7938 pt
チーム島原エレナ60位	7585 pt
チーム島原エレナ71位	5577 pt
チーム島原エレナ72位	5527 pt
チーム島原エレナ73位	5510 pt
チーム島原エレナ74位	5369 pt
チーム島原エレナ75位	5364 pt
チーム島原エレナ76位	5255 pt
チーム島原エレナ77位	4792 pt
チーム島原エレナ78位	4751 pt
チーム島原エレナ79位	4678 pt
チーム島原エレナ80位	4643 pt
チーム島原エレナ91位	2773 pt
チーム島原エレナ92位	2725 pt
チーム島原エレナ93位	2641 pt
チーム島原エレナ94位	2508 pt
チーム島原エレナ95位	2431 pt
チーム島原エレナ96位	2399 pt
チーム島原エレナ97位	2394 pt
チーム島原エレナ98位	2372 pt
チーム島原エレナ99位	2339 pt
チーム島原エレナ100位	2174 pt
チーム島原エレナ111位	1481 pt
チーム島原エレナ112位	1449 pt
チーム島原エレナ113位	1373 pt
チーム島原エレナ114位	1297 pt
チーム島原エレナ115位	1169 pt
チーム島原エレナ116位	1116 pt
チーム島原エレナ117位	1107 pt
チーム島原エレナ118位	1015 pt
チーム島原エレナ119位	991 pt
チーム島原エレナ120位	985 pt
チーム島原エレナ131位	772 pt
チーム島原エレナ132位	753 pt
チーム島原エレナ133位	750 pt
チーム島原エレナ134位	726 pt
チーム島原エレナ135位	712 pt
チーム島原エレナ136位	689 pt
チーム島原エレナ137位	681 pt
チーム島原エレナ138位	674 pt
チーム島原エレナ139位	666 pt
チーム島原エレナ140位	635 pt
チーム島原エレナ151位	456 pt
チーム島原エレナ152位	443 pt
チーム島原エレナ153位	435 pt
チーム島原エレナ154位	433 pt
チーム島原エレナ155位	403 pt
チーム島原エレナ156位	400 pt
チーム島原エレナ157位	373 pt
チーム島原エレナ158位	362 pt
チーム島原エレナ159位	361 pt
チーム島原エレナ160位	361 pt
チーム島原エレナ171位	312 pt
チーム島原エレナ172位	309 pt
チーム島原エレナ173位	293 pt
チーム島原エレナ174位	285 pt
チーム島原エレナ175位	284 pt
チーム島原エレナ176位	254 pt
チーム島原エレナ177位	231 pt
チーム島原エレナ178位	231 pt
チーム島原エレナ179位	227 pt
チーム島原エレナ180位	221 pt
チーム島原エレナ191位	141 pt
チーム島原エレナ192位	131 pt
チーム島原エレナ193位	131 pt
チーム島原エレナ194位	130 pt
チーム島原エレナ195位	129 pt
チーム島原エレナ196位	129 pt
チーム島原エレナ197位	125 pt
チーム島原エレナ198位	124 pt
チーム島原エレナ199位	123 pt
チーム島原エレナ200位	122 pt
チーム島原エレナ211位	88 pt
チーム島原エレナ212位	86 pt
チーム島原エレナ213位	80 pt
チーム島原エレナ214位	74 pt
チーム島原エレナ215位	72 pt
チーム島原エレナ216位	72 pt
チーム島原エレナ217位	72 pt
チーム島原エレナ218位	70 pt
チーム島原エレナ219位	70 pt
チーム島原エレナ220位	68 pt
チーム島原エレナ231位	45 pt
チーム島原エレナ232位	44 pt
チーム島原エレナ233位	44 pt
チーム島原エレナ234位	42 pt
チーム島原エレナ235位	42 pt
チーム島原エレナ236位	40 pt
チーム島原エレナ237位	38 pt
チーム島原エレナ238位	37 pt
チーム島原エレナ239位	35 pt
チーム島原エレナ240位	33 pt
チーム島原エレナ251位	20 pt
チーム島原エレナ252位	19 pt
チーム島原エレナ253位	19 pt
チーム島原エレナ254位	19 pt
チーム島原エレナ255位	19 pt
チーム島原エレナ256位	16 pt
チーム島原エレナ257位	14 pt
チーム島原エレナ258位	11 pt
チーム島原エレナ259位	8 pt
チーム島原エレナ260位	8 pt
チーム島原エレナ271位	7 pt
チーム島原エレナ272位	7 pt
チーム島原エレナ273位	7 pt
チーム島原エレナ274位	7 pt
チーム島原エレナ275位	6 pt
チーム島原エレナ276位	6 pt
チーム島原エレナ277位	4 pt
チーム島原エレナ278位	4 pt
チーム島原エレナ279位	2 pt
チーム島原エレナ280位	2 pt
チーム島原エレナ291位	2 pt
チーム島原エレナ292位	2 pt
チーム島原エレナ293位	2 pt
チーム島原エレナ294位	2 pt
チーム島原エレナ295位	2 pt
チーム島原エレナ296位	2 pt
チーム島原エレナ297位	2 pt
チーム島原エレナ298位	2 pt
チーム島原エレナ299位	2 pt
チーム島原エレナ300位	2 pt
チーム佐竹美奈子51位	21773 pt
チーム佐竹美奈子52位	20518 pt
チーム佐竹美奈子53位	20406 pt
チーム佐竹美奈子54位	20313 pt
チーム佐竹美奈子55位	20084 pt
チーム佐竹美奈子56位	19779 pt
チーム佐竹美奈子57位	19631 pt
チーム佐竹美奈子58位	19285 pt
チーム佐竹美奈子59位	18760 pt
チーム佐竹美奈子60位	18494 pt
チーム佐竹美奈子71位	15887 pt
チーム佐竹美奈子72位	15649 pt
チーム佐竹美奈子73位	14627 pt
チーム佐竹美奈子74位	14568 pt
チーム佐竹美奈子75位	14377 pt
チーム佐竹美奈子76位	14051 pt
チーム佐竹美奈子77位	13476 pt
チーム佐竹美奈子78位	12916 pt
チーム佐竹美奈子79位	12798 pt
チーム佐竹美奈子80位	12765 pt
チーム佐竹美奈子91位	9721 pt
チーム佐竹美奈子92位	9716 pt
チーム佐竹美奈子93位	9325 pt
チーム佐竹美奈子94位	8856 pt
チーム佐竹美奈子95位	8680 pt
チーム佐竹美奈子96位	8592 pt
チーム佐竹美奈子97位	8579 pt
チーム佐竹美奈子98位	8557 pt
チーム佐竹美奈子99位	8504 pt
チーム佐竹美奈子100位	7600 pt
チーム佐竹美奈子111位	6437 pt
チーム佐竹美奈子112位	6251 pt
チーム佐竹美奈子113位	5925 pt
チーム佐竹美奈子114位	5831 pt
チーム佐竹美奈子115位	5749 pt
チーム佐竹美奈子116位	5679 pt
チーム佐竹美奈子117位	5622 pt
チーム佐竹美奈子118位	5606 pt
チーム佐竹美奈子119位	5560 pt
チーム佐竹美奈子120位	5426 pt
チーム佐竹美奈子131位	4471 pt
チーム佐竹美奈子132位	4411 pt
チーム佐竹美奈子133位	4356 pt
チーム佐竹美奈子134位	4351 pt
チーム佐竹美奈子135位	4322 pt
チーム佐竹美奈子136位	4252 pt
チーム佐竹美奈子137位	4124 pt
チーム佐竹美奈子138位	4109 pt
チーム佐竹美奈子139位	4055 pt
チーム佐竹美奈子140位	3971 pt
チーム佐竹美奈子151位	3276 pt
チーム佐竹美奈子152位	3243 pt
チーム佐竹美奈子153位	3126 pt
チーム佐竹美奈子154位	3113 pt
チーム佐竹美奈子155位	3050 pt
チーム佐竹美奈子156位	3050 pt
チーム佐竹美奈子157位	3035 pt
チーム佐竹美奈子158位	2973 pt
チーム佐竹美奈子159位	2946 pt
チーム佐竹美奈子160位	2860 pt
チーム佐竹美奈子171位	2433 pt
チーム佐竹美奈子172位	2431 pt
チーム佐竹美奈子173位	2402 pt
チーム佐竹美奈子174位	2272 pt
チーム佐竹美奈子175位	2161 pt
チーム佐竹美奈子176位	2137 pt
チーム佐竹美奈子177位	2136 pt
チーム佐竹美奈子178位	2086 pt
チーム佐竹美奈子179位	2052 pt
チーム佐竹美奈子180位	2040 pt
チーム佐竹美奈子191位	1760 pt
チーム佐竹美奈子192位	1732 pt
チーム佐竹美奈子193位	1683 pt
チーム佐竹美奈子194位	1557 pt
チーム佐竹美奈子195位	1543 pt
チーム佐竹美奈子196位	1530 pt
チーム佐竹美奈子197位	1474 pt
チーム佐竹美奈子198位	1449 pt
チーム佐竹美奈子199位	1404 pt
チーム佐竹美奈子200位	1361 pt
チーム佐竹美奈子211位	1149 pt
チーム佐竹美奈子212位	1126 pt
チーム佐竹美奈子213位	1124 pt
チーム佐竹美奈子214位	1094 pt
チーム佐竹美奈子215位	1092 pt
チーム佐竹美奈子216位	1077 pt
チーム佐竹美奈子217位	1066 pt
チーム佐竹美奈子218位	1040 pt
チーム佐竹美奈子219位	1040 pt
チーム佐竹美奈子220位	1021 pt
チーム佐竹美奈子231位	898 pt
チーム佐竹美奈子232位	831 pt
チーム佐竹美奈子233位	808 pt
チーム佐竹美奈子234位	801 pt
チーム佐竹美奈子235位	799 pt
チーム佐竹美奈子236位	780 pt
チーム佐竹美奈子237位	770 pt
チーム佐竹美奈子238位	761 pt
チーム佐竹美奈子239位	728 pt
チーム佐竹美奈子240位	724 pt
チーム佐竹美奈子251位	623 pt
チーム佐竹美奈子252位	622 pt
チーム佐竹美奈子253位	613 pt
チーム佐竹美奈子254位	606 pt
チーム佐竹美奈子255位	600 pt
チーム佐竹美奈子256位	593 pt
チーム佐竹美奈子257位	578 pt
チーム佐竹美奈子258位	559 pt
チーム佐竹美奈子259位	559 pt
チーム佐竹美奈子260位	554 pt
チーム佐竹美奈子271位	436 pt
チーム佐竹美奈子272位	435 pt
チーム佐竹美奈子273位	432 pt
チーム佐竹美奈子274位	421 pt
チーム佐竹美奈子275位	411 pt
チーム佐竹美奈子276位	406 pt
チーム佐竹美奈子277位	406 pt
チーム佐竹美奈子278位	400 pt
チーム佐竹美奈子279位	387 pt
チーム佐竹美奈子280位	386 pt
チーム佐竹美奈子291位	333 pt
チーム佐竹美奈子292位	333 pt
チーム佐竹美奈子293位	333 pt
チーム佐竹美奈子294位	331 pt
チーム佐竹美奈子295位	327 pt
チーム佐竹美奈子296位	321 pt
チーム佐竹美奈子297位	321 pt
チーム佐竹美奈子298位	314 pt
チーム佐竹美奈子299位	311 pt
チーム佐竹美奈子300位	309 pt
チーム所恵美51位	30708 pt
チーム所恵美52位	30633 pt
チーム所恵美53位	29722 pt
チーム所恵美54位	28673 pt
チーム所恵美55位	28052 pt
チーム所恵美56位	27451 pt
チーム所恵美57位	26859 pt
チーム所恵美58位	26386 pt
チーム所恵美59位	26219 pt
チーム所恵美60位	25674 pt
チーム所恵美71位	19146 pt
チーム所恵美72位	18740 pt
チーム所恵美73位	18457 pt
チーム所恵美74位	17694 pt
チーム所恵美75位	17616 pt
チーム所恵美76位	17354 pt
チーム所恵美77位	17174 pt
チーム所恵美78位	17103 pt
チーム所恵美79位	16668 pt
チーム所恵美80位	16467 pt
チーム所恵美91位	13163 pt
チーム所恵美92位	12636 pt
チーム所恵美93位	12372 pt
チーム所恵美94位	12048 pt
チーム所恵美95位	11820 pt
チーム所恵美96位	11665 pt
