100位	115,166,453 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	393,415,132 pt
20位	243,848,521 pt
※04/12 23:03 集計時点 BYそくどん


100位	113,548,932 pt
500位	54,978,005 pt
1200位	17,368,169 pt
1300位	14,794,089 pt
1000位	24,001,468 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	393,415,132 pt
20位	243,649,782 pt
※04/12 23:01 集計時点 BYそくどん


100位	113,548,932 pt
500位	54,966,395 pt
1200位	17,368,169 pt
1300位	14,794,089 pt
1000位	23,962,549 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	393,415,132 pt
20位	243,431,933 pt
※04/12 23:00 集計時点 BYそくどん


100位	113,548,932 pt
500位	54,691,746 pt
1200位	17,368,169 pt
1300位	14,794,089 pt
1000位	23,962,549 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	393,415,132 pt
20位	243,431,933 pt
※04/12 22:59 集計時点 BYそくどん


100位	113,548,932 pt
500位	54,691,746 pt
1200位	17,368,169 pt
1300位	14,794,089 pt
1000位	23,962,549 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	393,415,132 pt
20位	243,431,933 pt
※04/12 22:58 集計時点 BYそくどん


100位	113,529,592 pt
500位	54,691,746 pt
1200位	17,325,521 pt
1300位	14,794,089 pt
1000位	23,935,533 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	393,415,132 pt
20位	242,537,606 pt
※04/12 22:56 集計時点 BYそくどん


100位	113,529,592 pt
500位	54,691,746 pt
1200位	17,325,521 pt
1300位	14,784,357 pt
1000位	23,935,533 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	393,415,132 pt
20位	242,285,360 pt
※04/12 22:55 集計時点 BYそくどん


100位	113,529,592 pt
500位	54,260,106 pt
1200位	17,325,521 pt
1300位	14,675,162 pt
1000位	23,935,533 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	393,415,132 pt
20位	241,161,719 pt
※04/12 22:53 集計時点 BYそくどん


100位	113,291,328 pt
500位	54,218,393 pt
1200位	17,325,521 pt
1300位	14,675,162 pt
1000位	23,935,533 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	393,415,132 pt
20位	241,161,719 pt
※04/12 22:51 集計時点 BYそくどん


100位	113,291,328 pt
500位	54,218,393 pt
1200位	17,325,521 pt
1300位	14,675,162 pt
1000位	23,918,039 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	393,415,132 pt
20位	241,161,719 pt
※04/12 22:51 集計時点 BYそくどん


100位	113,291,328 pt
500位	54,218,393 pt
1200位	17,325,521 pt
1300位	14,670,741 pt
1000位	23,918,039 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	393,415,132 pt
20位	241,161,719 pt
※04/12 22:50 集計時点 BYそくどん


100位	113,291,328 pt
500位	54,218,393 pt
1200位	17,325,521 pt
1300位	14,670,741 pt
1000位	23,914,626 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	393,415,132 pt
20位	240,951,514 pt
※04/12 22:49 集計時点 BYそくどん


100位	113,291,328 pt
500位	54,196,122 pt
1200位	17,325,521 pt
1300位	14,670,741 pt
1000位	23,828,246 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	393,415,132 pt
20位	240,951,514 pt
※04/12 22:48 集計時点 BYそくどん


100位	113,291,328 pt
500位	54,196,122 pt
1200位	17,325,521 pt
1300位	14,665,994 pt
1000位	23,828,246 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	393,415,132 pt
20位	240,951,514 pt
※04/12 22:46 集計時点 BYそくどん


100位	113,291,328 pt
500位	54,196,122 pt
1200位	17,270,064 pt
1300位	14,639,707 pt
1000位	23,814,642 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	393,415,132 pt
20位	240,951,514 pt
※04/12 22:45 集計時点 BYそくどん


100位	113,291,328 pt
500位	54,196,074 pt
1200位	17,270,064 pt
1300位	14,594,475 pt
1000位	23,659,119 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	393,415,132 pt
20位	240,951,514 pt
※04/12 22:43 集計時点 BYそくどん


100位	113,291,328 pt
500位	54,196,074 pt
1200位	17,270,064 pt
1300位	14,449,070 pt
1000位	23,659,119 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	393,415,132 pt
20位	238,513,378 pt
※04/12 22:41 集計時点 BYそくどん


100位	113,291,328 pt
500位	54,196,074 pt
1200位	17,270,064 pt
1300位	14,449,070 pt
1000位	23,659,119 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	393,124,667 pt
20位	238,513,378 pt
※04/12 22:40 集計時点 BYそくどん


100位	113,291,328 pt
500位	54,196,074 pt
1200位	17,270,064 pt
1300位	14,449,070 pt
1000位	23,659,119 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,872,421 pt
20位	238,513,378 pt
※04/12 22:39 集計時点 BYそくどん


100位	113,291,328 pt
500位	54,196,074 pt
1200位	17,270,064 pt
1300位	14,449,070 pt
1000位	23,651,034 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,872,421 pt
20位	238,513,378 pt
※04/12 22:38 集計時点 BYそくどん


100位	113,291,328 pt
500位	54,164,373 pt
1200位	17,243,238 pt
1300位	14,449,070 pt
1000位	23,648,890 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,620,175 pt
20位	238,513,378 pt
※04/12 22:36 集計時点 BYそくどん


100位	113,291,328 pt
500位	54,164,373 pt
1200位	17,243,238 pt
1300位	14,449,070 pt
1000位	23,625,695 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,620,175 pt
20位	238,513,378 pt
※04/12 22:35 集計時点 BYそくどん


100位	113,168,285 pt
500位	54,062,972 pt
1200位	17,243,238 pt
1300位	14,424,426 pt
1000位	23,625,695 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	238,513,378 pt
※04/12 22:33 集計時点 BYそくどん


100位	113,123,192 pt
500位	54,062,972 pt
1200位	17,243,238 pt
1300位	14,424,426 pt
1000位	23,615,363 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	238,513,378 pt
※04/12 22:31 集計時点 BYそくどん


100位	113,123,192 pt
500位	54,062,972 pt
1200位	17,243,238 pt
1300位	14,424,426 pt
1000位	23,615,363 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	238,513,378 pt
※04/12 22:30 集計時点 BYそくどん


100位	113,123,192 pt
500位	54,062,972 pt
1200位	17,243,238 pt
1300位	14,405,281 pt
1000位	23,615,363 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	238,513,378 pt
※04/12 22:29 集計時点 BYそくどん


100位	113,123,192 pt
500位	54,062,972 pt
1200位	17,243,238 pt
1300位	14,405,281 pt
1000位	23,570,593 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	238,513,378 pt
※04/12 22:28 集計時点 BYそくどん


100位	113,123,192 pt
500位	53,983,121 pt
1200位	17,243,238 pt
1300位	14,405,281 pt
1000位	23,570,593 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	238,513,378 pt
※04/12 22:26 集計時点 BYそくどん


100位	113,123,192 pt
500位	53,894,111 pt
1200位	17,226,834 pt
1300位	14,405,281 pt
1000位	23,555,822 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	238,493,470 pt
※04/12 22:25 集計時点 BYそくどん


100位	113,123,192 pt
500位	53,870,731 pt
1200位	17,226,834 pt
1300位	14,405,281 pt
1000位	23,555,822 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	236,204,048 pt
※04/12 22:23 集計時点 BYそくどん


100位	113,123,192 pt
500位	53,870,731 pt
1200位	17,204,081 pt
1300位	14,405,281 pt
1000位	23,555,822 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	236,204,048 pt
※04/12 22:21 集計時点 BYそくどん


100位	113,123,192 pt
500位	53,870,731 pt
1200位	17,204,081 pt
1300位	14,405,281 pt
1000位	23,516,226 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	236,204,048 pt
※04/12 22:20 集計時点 BYそくどん


100位	113,123,192 pt
500位	53,870,731 pt
1200位	17,204,081 pt
1300位	14,405,281 pt
1000位	23,516,226 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	236,204,048 pt
※04/12 22:19 集計時点 BYそくどん


100位	113,123,192 pt
500位	53,870,731 pt
1200位	17,204,081 pt
1300位	14,405,281 pt
1000位	23,516,226 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	236,204,048 pt
※04/12 22:18 集計時点 BYそくどん


100位	113,123,192 pt
500位	53,870,731 pt
1200位	17,204,081 pt
1300位	14,405,281 pt
1000位	23,464,692 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	236,204,048 pt
※04/12 22:16 集計時点 BYそくどん


100位	113,014,928 pt
500位	53,870,731 pt
1200位	17,204,081 pt
1300位	14,405,281 pt
1000位	23,464,692 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	236,204,048 pt
※04/12 22:15 集計時点 BYそくどん


100位	112,964,720 pt
500位	53,804,456 pt
1200位	17,204,081 pt
1300位	14,405,281 pt
1000位	23,461,968 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	236,204,048 pt
※04/12 22:13 集計時点 BYそくどん


100位	112,926,091 pt
500位	53,804,456 pt
1200位	17,204,081 pt
1300位	14,405,281 pt
1000位	23,430,767 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	236,204,048 pt
※04/12 22:11 集計時点 BYそくどん


100位	112,551,544 pt
500位	53,796,375 pt
1200位	17,204,081 pt
1300位	14,367,164 pt
1000位	23,324,379 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	236,204,048 pt
※04/12 22:10 集計時点 BYそくどん


100位	112,150,244 pt
500位	53,796,375 pt
1200位	17,204,081 pt
1300位	14,367,164 pt
1000位	23,324,379 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	236,204,048 pt
※04/12 22:09 集計時点 BYそくどん


100位	112,150,244 pt
500位	53,796,375 pt
1200位	17,204,081 pt
1300位	14,367,164 pt
1000位	23,324,379 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	236,204,048 pt
※04/12 22:08 集計時点 BYそくどん


100位	112,072,708 pt
500位	53,599,773 pt
1200位	17,204,081 pt
1300位	14,349,648 pt
1000位	23,324,379 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	236,204,048 pt
※04/12 22:06 集計時点 BYそくどん


100位	112,071,916 pt
500位	53,492,913 pt
1200位	17,204,081 pt
1300位	14,337,771 pt
1000位	23,324,379 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	236,204,048 pt
※04/12 22:05 集計時点 BYそくどん


100位	112,071,916 pt
500位	53,357,583 pt
1200位	17,204,081 pt
1300位	14,320,352 pt
1000位	23,321,431 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	236,204,048 pt
※04/12 22:03 集計時点 BYそくどん


100位	112,071,916 pt
500位	53,357,583 pt
1200位	17,204,081 pt
1300位	14,320,352 pt
1000位	23,321,431 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	236,204,048 pt
※04/12 22:01 集計時点 BYそくどん


100位	112,071,916 pt
500位	53,357,583 pt
1200位	17,204,081 pt
1300位	14,320,352 pt
1000位	23,321,431 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	236,204,048 pt
※04/12 22:00 集計時点 BYそくどん


100位	112,071,916 pt
500位	53,227,287 pt
1200位	17,204,081 pt
1300位	14,320,352 pt
1000位	23,321,431 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	236,204,048 pt
※04/12 21:59 集計時点 BYそくどん


100位	112,071,916 pt
500位	53,227,287 pt
1200位	17,204,081 pt
1300位	14,320,352 pt
1000位	23,312,288 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	236,204,048 pt
※04/12 21:58 集計時点 BYそくどん


100位	112,071,916 pt
500位	53,227,287 pt
1200位	17,204,081 pt
1300位	14,320,352 pt
1000位	23,312,196 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	235,993,843 pt
※04/12 21:56 集計時点 BYそくどん


100位	112,071,916 pt
500位	53,227,287 pt
1200位	17,141,637 pt
1300位	14,320,352 pt
1000位	23,184,303 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	235,993,843 pt
※04/12 21:55 集計時点 BYそくどん


100位	112,071,916 pt
500位	53,227,287 pt
1200位	17,083,382 pt
1300位	14,320,352 pt
1000位	23,163,233 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	235,993,843 pt
※04/12 21:53 集計時点 BYそくどん


100位	112,071,916 pt
500位	53,111,767 pt
1200位	17,083,382 pt
1300位	14,320,352 pt
1000位	23,163,233 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	235,993,843 pt
※04/12 21:51 集計時点 BYそくどん


100位	112,071,916 pt
500位	53,111,767 pt
1200位	17,083,382 pt
1300位	14,320,352 pt
1000位	23,163,233 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	235,993,843 pt
※04/12 21:50 集計時点 BYそくどん


100位	112,071,916 pt
500位	52,993,722 pt
1200位	17,083,382 pt
1300位	14,320,352 pt
1000位	23,163,233 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	235,993,843 pt
※04/12 21:49 集計時点 BYそくどん


100位	112,071,916 pt
500位	52,993,722 pt
1200位	17,083,382 pt
1300位	14,320,352 pt
1000位	23,163,233 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	235,993,843 pt
※04/12 21:48 集計時点 BYそくどん


100位	112,071,916 pt
500位	52,713,057 pt
1200位	17,083,382 pt
1300位	14,320,352 pt
1000位	23,041,910 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	235,993,843 pt
※04/12 21:46 集計時点 BYそくどん


100位	112,071,916 pt
500位	52,687,336 pt
1200位	17,083,382 pt
1300位	14,320,352 pt
1000位	23,002,684 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	235,993,843 pt
※04/12 21:45 集計時点 BYそくどん


100位	112,001,748 pt
500位	52,675,766 pt
1200位	17,083,382 pt
1300位	14,320,352 pt
1000位	22,998,891 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	235,783,638 pt
※04/12 21:43 集計時点 BYそくどん


100位	111,795,833 pt
500位	52,675,766 pt
1200位	17,060,605 pt
1300位	14,297,319 pt
1000位	22,973,499 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	235,783,638 pt
※04/12 21:41 集計時点 BYそくどん


100位	111,029,512 pt
500位	52,675,766 pt
1200位	17,060,605 pt
1300位	14,297,319 pt
1000位	22,961,927 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	235,783,638 pt
※04/12 21:40 集計時点 BYそくどん


100位	111,029,512 pt
500位	52,675,766 pt
1200位	17,060,605 pt
1300位	14,297,319 pt
1000位	22,890,446 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	392,138,615 pt
20位	235,783,638 pt
