チーム春日未来1位	460259 pt
チーム島原エレナ8位	227844 pt
チーム島原エレナ9位	221586 pt
チーム島原エレナ10位	207778 pt
チーム島原エレナ11位	166466 pt
チーム島原エレナ12位	161559 pt
チーム島原エレナ13位	158982 pt
チーム島原エレナ14位	136865 pt
チーム島原エレナ15位	124445 pt
チーム島原エレナ16位	123144 pt
チーム島原エレナ17位	118701 pt
チーム島原エレナ18位	116732 pt
チーム島原エレナ19位	97529 pt
チーム島原エレナ20位	67553 pt
チーム島原エレナ21位	57883 pt
チーム島原エレナ22位	56295 pt
チーム島原エレナ23位	55009 pt
チーム島原エレナ24位	54290 pt
チーム島原エレナ25位	47529 pt
チーム島原エレナ26位	45373 pt
チーム島原エレナ27位	42110 pt
チーム島原エレナ28位	39898 pt
チーム島原エレナ29位	38618 pt
チーム島原エレナ30位	35956 pt
チーム佐竹美奈子1位	677744 pt
チーム佐竹美奈子2位	625022 pt
チーム佐竹美奈子3位	591549 pt
チーム佐竹美奈子4位	528912 pt
チーム佐竹美奈子5位	518301 pt
チーム佐竹美奈子6位	496529 pt
チーム佐竹美奈子7位	384543 pt
チーム佐竹美奈子8位	277126 pt
チーム佐竹美奈子9位	272618 pt
チーム佐竹美奈子10位	256800 pt
チーム佐竹美奈子11位	248427 pt
チーム佐竹美奈子12位	244518 pt
チーム佐竹美奈子13位	191410 pt
チーム佐竹美奈子14位	182948 pt
チーム佐竹美奈子15位	178603 pt
チーム佐竹美奈子16位	173848 pt
チーム佐竹美奈子17位	160677 pt
チーム佐竹美奈子18位	159629 pt
チーム佐竹美奈子19位	152701 pt
チーム佐竹美奈子20位	143533 pt
チーム佐竹美奈子21位	136061 pt
チーム佐竹美奈子22位	135693 pt
チーム佐竹美奈子23位	126106 pt
チーム佐竹美奈子24位	124135 pt
チーム佐竹美奈子25位	121401 pt
チーム佐竹美奈子26位	118544 pt
チーム佐竹美奈子27位	115162 pt
チーム佐竹美奈子28位	111173 pt
チーム佐竹美奈子29位	104862 pt
チーム佐竹美奈子30位	99879 pt
チーム所恵美1位	500682 pt
チーム所恵美2位	374158 pt
チーム所恵美3位	318608 pt
チーム所恵美4位	301795 pt
チーム所恵美5位	274847 pt
チーム所恵美6位	262521 pt
チーム所恵美7位	261947 pt
チーム所恵美8位	261673 pt
チーム所恵美9位	247621 pt
チーム所恵美10位	241357 pt
チーム所恵美11位	237239 pt
チーム所恵美12位	223506 pt
チーム所恵美13位	223252 pt
チーム所恵美14位	220158 pt
チーム所恵美15位	204668 pt
チーム所恵美16位	197246 pt
チーム所恵美17位	193855 pt
チーム所恵美18位	186646 pt
チーム所恵美19位	183352 pt
チーム所恵美20位	183114 pt
チーム所恵美21位	175066 pt
チーム所恵美22位	162895 pt
チーム所恵美23位	161425 pt
チーム所恵美24位	148286 pt
チーム所恵美25位	142993 pt
チーム所恵美26位	133132 pt
チーム所恵美27位	130331 pt
チーム所恵美28位	123270 pt
チーム所恵美29位	113287 pt
チーム所恵美30位	110089 pt
チーム徳川まつり1位	515165 pt
チーム徳川まつり2位	411884 pt
チーム徳川まつり3位	348503 pt
チーム徳川まつり4位	289470 pt
チーム徳川まつり5位	187180 pt
チーム徳川まつり6位	175405 pt
チーム徳川まつり7位	167225 pt
チーム徳川まつり8位	161600 pt
チーム徳川まつり9位	142145 pt
チーム徳川まつり10位	141045 pt
チーム徳川まつり11位	111467 pt
チーム徳川まつり12位	108889 pt
チーム徳川まつり13位	105495 pt
チーム徳川まつり14位	96720 pt
チーム徳川まつり15位	93254 pt
チーム徳川まつり16位	87102 pt
チーム徳川まつり17位	81043 pt
チーム徳川まつり18位	78524 pt
チーム徳川まつり19位	72126 pt
チーム徳川まつり20位	67381 pt
チーム徳川まつり21位	65714 pt
チーム徳川まつり22位	64387 pt
チーム徳川まつり23位	64380 pt
チーム徳川まつり24位	61375 pt
チーム徳川まつり25位	59174 pt
チーム徳川まつり26位	55991 pt
チーム徳川まつり27位	55278 pt
チーム徳川まつり28位	53295 pt
チーム徳川まつり29位	49237 pt
チーム徳川まつり30位	47888 pt
チーム箱崎星梨花1位	635804 pt
チーム箱崎星梨花2位	509743 pt
チーム箱崎星梨花3位	347802 pt
チーム箱崎星梨花4位	344328 pt
チーム箱崎星梨花5位	326082 pt
チーム箱崎星梨花6位	313997 pt
チーム箱崎星梨花7位	309164 pt
チーム箱崎星梨花8位	283556 pt
チーム箱崎星梨花9位	278584 pt
チーム箱崎星梨花10位	246065 pt
チーム箱崎星梨花11位	233569 pt
チーム箱崎星梨花12位	219923 pt
チーム箱崎星梨花13位	216299 pt
チーム箱崎星梨花14位	193099 pt
チーム箱崎星梨花15位	192483 pt
チーム箱崎星梨花16位	187454 pt
チーム箱崎星梨花17位	180189 pt
チーム箱崎星梨花18位	172991 pt
チーム箱崎星梨花19位	170463 pt
チーム箱崎星梨花20位	160060 pt
チーム箱崎星梨花21位	152775 pt
チーム箱崎星梨花22位	123517 pt
チーム箱崎星梨花23位	114715 pt
チーム箱崎星梨花24位	114161 pt
チーム箱崎星梨花25位	111871 pt
チーム箱崎星梨花26位	109219 pt
チーム箱崎星梨花27位	106218 pt
チーム箱崎星梨花28位	102810 pt
チーム箱崎星梨花29位	101805 pt
チーム箱崎星梨花30位	91935 pt
チーム野々原茜1位	418409 pt
チーム野々原茜2位	166797 pt
チーム野々原茜3位	156809 pt
チーム野々原茜4位	136036 pt
チーム野々原茜5位	132504 pt
チーム野々原茜6位	130021 pt
チーム野々原茜7位	126074 pt
チーム野々原茜8位	114941 pt
チーム野々原茜9位	108269 pt
チーム野々原茜10位	107079 pt
チーム野々原茜11位	101752 pt
チーム野々原茜12位	90128 pt
チーム野々原茜13位	84540 pt
チーム野々原茜14位	84068 pt
チーム野々原茜15位	79361 pt
チーム野々原茜16位	77496 pt
チーム野々原茜17位	76891 pt
チーム野々原茜18位	71588 pt
チーム野々原茜19位	61779 pt
チーム野々原茜20位	61556 pt
チーム野々原茜21位	60842 pt
チーム野々原茜22位	58849 pt
チーム野々原茜23位	57900 pt
チーム野々原茜24位	55573 pt
チーム野々原茜25位	54333 pt
チーム野々原茜26位	52594 pt
チーム野々原茜27位	50621 pt
チーム野々原茜28位	49409 pt
チーム野々原茜29位	47380 pt
チーム野々原茜30位	45594 pt
チーム望月杏奈1位	3432720 pt
チーム望月杏奈2位	1424060 pt
チーム望月杏奈3位	749990 pt
チーム望月杏奈4位	679624 pt
チーム望月杏奈5位	668711 pt
チーム望月杏奈6位	666667 pt
チーム望月杏奈7位	472136 pt
チーム望月杏奈8位	418647 pt
チーム望月杏奈9位	409354 pt
チーム望月杏奈10位	355111 pt
チーム望月杏奈11位	319814 pt
チーム望月杏奈12位	319067 pt
チーム望月杏奈13位	290088 pt
チーム望月杏奈14位	277274 pt
チーム望月杏奈15位	273198 pt
チーム望月杏奈16位	261163 pt
チーム望月杏奈17位	226960 pt
チーム望月杏奈18位	226215 pt
チーム望月杏奈19位	225368 pt
チーム望月杏奈20位	210209 pt
チーム望月杏奈21位	207510 pt
チーム望月杏奈22位	198300 pt
チーム望月杏奈23位	196559 pt
チーム望月杏奈24位	195355 pt
チーム望月杏奈25位	189915 pt
チーム望月杏奈26位	179551 pt
チーム望月杏奈27位	177493 pt
チーム望月杏奈28位	167935 pt
チーム望月杏奈29位	166968 pt
チーム望月杏奈30位	157998 pt
チーム七尾百合子1位	626430 pt
チーム七尾百合子2位	508718 pt
チーム七尾百合子3位	430960 pt
チーム七尾百合子4位	414404 pt
チーム七尾百合子5位	372789 pt
チーム七尾百合子6位	292428 pt
チーム七尾百合子7位	283476 pt
チーム七尾百合子8位	279850 pt
チーム七尾百合子9位	248408 pt
チーム七尾百合子10位	246201 pt
チーム七尾百合子11位	231608 pt
チーム七尾百合子12位	229344 pt
チーム七尾百合子13位	222215 pt
チーム七尾百合子14位	187586 pt
チーム七尾百合子15位	175372 pt
チーム七尾百合子16位	168522 pt
チーム七尾百合子17位	163590 pt
チーム七尾百合子18位	159008 pt
チーム七尾百合子19位	157969 pt
チーム七尾百合子20位	154637 pt
チーム七尾百合子21位	151135 pt
チーム七尾百合子22位	140454 pt
チーム七尾百合子23位	127143 pt
チーム七尾百合子24位	123527 pt
チーム七尾百合子25位	122118 pt
チーム七尾百合子26位	119141 pt
チーム七尾百合子27位	100054 pt
チーム七尾百合子28位	90593 pt
チーム七尾百合子29位	86392 pt
チーム七尾百合子30位	84563 pt
チーム高山紗代子1位	1171598 pt
チーム高山紗代子2位	853742 pt
チーム高山紗代子3位	479692 pt
チーム高山紗代子4位	380263 pt
チーム高山紗代子5位	330905 pt
チーム高山紗代子6位	327305 pt
チーム高山紗代子7位	326492 pt
チーム高山紗代子8位	315589 pt
チーム高山紗代子9位	293932 pt
チーム高山紗代子10位	232974 pt
チーム高山紗代子11位	221922 pt
チーム高山紗代子12位	214442 pt
チーム高山紗代子13位	201253 pt
チーム高山紗代子14位	186616 pt
チーム高山紗代子15位	181379 pt
チーム高山紗代子16位	180211 pt
チーム高山紗代子17位	176847 pt
チーム高山紗代子18位	163160 pt
チーム高山紗代子19位	161541 pt
チーム高山紗代子20位	155704 pt
チーム高山紗代子21位	147865 pt
チーム高山紗代子22位	136771 pt
チーム高山紗代子23位	129065 pt
チーム高山紗代子24位	124424 pt
チーム高山紗代子25位	120840 pt
チーム高山紗代子26位	118712 pt
チーム高山紗代子27位	117558 pt
チーム高山紗代子28位	116194 pt
チーム高山紗代子29位	114630 pt
チーム高山紗代子30位	107173 pt
チーム松田亜利沙1位	441041 pt
チーム松田亜利沙2位	436192 pt
チーム松田亜利沙3位	397618 pt
チーム松田亜利沙4位	313261 pt
チーム松田亜利沙5位	254799 pt
チーム松田亜利沙6位	247656 pt
チーム松田亜利沙7位	224032 pt
チーム松田亜利沙8位	218158 pt
チーム松田亜利沙9位	215699 pt
チーム松田亜利沙10位	163720 pt
チーム松田亜利沙11位	161915 pt
チーム松田亜利沙12位	158016 pt
チーム松田亜利沙13位	154199 pt
チーム松田亜利沙14位	136779 pt
チーム松田亜利沙15位	131191 pt
チーム松田亜利沙16位	123245 pt
チーム松田亜利沙17位	117799 pt
チーム松田亜利沙18位	106497 pt
チーム松田亜利沙19位	103218 pt
チーム松田亜利沙20位	101541 pt
チーム松田亜利沙21位	96108 pt
チーム松田亜利沙22位	89586 pt
チーム松田亜利沙23位	84705 pt
チーム松田亜利沙24位	81812 pt
チーム松田亜利沙25位	73955 pt
チーム松田亜利沙26位	70130 pt
チーム松田亜利沙27位	70024 pt
チーム松田亜利沙28位	69377 pt
チーム松田亜利沙29位	65532 pt
チーム松田亜利沙30位	54840 pt
チーム高坂海美1位	704486 pt
チーム高坂海美2位	609929 pt
チーム高坂海美3位	433904 pt
チーム高坂海美4位	419108 pt
チーム高坂海美5位	258067 pt
チーム高坂海美6位	257259 pt
チーム高坂海美7位	243058 pt
チーム高坂海美8位	239494 pt
チーム高坂海美9位	208650 pt
チーム高坂海美10位	201078 pt
チーム高坂海美11位	176444 pt
チーム高坂海美12位	174370 pt
チーム高坂海美13位	152769 pt
チーム高坂海美14位	141710 pt
チーム高坂海美15位	133995 pt
チーム高坂海美16位	126014 pt
チーム高坂海美17位	105382 pt
チーム高坂海美18位	102421 pt
チーム高坂海美19位	99274 pt
チーム高坂海美20位	87770 pt
チーム高坂海美21位	82867 pt
チーム高坂海美22位	81875 pt
チーム高坂海美23位	70302 pt
チーム高坂海美24位	61439 pt
チーム高坂海美25位	59477 pt
チーム高坂海美26位	59222 pt
チーム高坂海美27位	59213 pt
チーム高坂海美28位	57178 pt
チーム高坂海美29位	56506 pt
チーム高坂海美30位	56078 pt
チーム中谷育1位	1267010 pt
チーム中谷育2位	739989 pt
チーム中谷育3位	290954 pt
チーム中谷育4位	210995 pt
チーム中谷育5位	187857 pt
チーム中谷育6位	147562 pt
チーム中谷育7位	146643 pt
チーム中谷育8位	128608 pt
チーム中谷育9位	122147 pt
チーム中谷育10位	114982 pt
チーム中谷育11位	114125 pt
チーム中谷育12位	100331 pt
チーム中谷育13位	89551 pt
チーム中谷育14位	78310 pt
チーム中谷育15位	77323 pt
チーム中谷育16位	64386 pt
チーム中谷育17位	61199 pt
チーム中谷育18位	56054 pt
チーム中谷育19位	51745 pt
チーム中谷育20位	50995 pt
チーム中谷育21位	49877 pt
チーム中谷育22位	49419 pt
チーム中谷育23位	47196 pt
チーム中谷育24位	44790 pt
チーム中谷育25位	36926 pt
チーム中谷育26位	35237 pt
チーム中谷育27位	34077 pt
チーム中谷育28位	32804 pt
チーム中谷育29位	30967 pt
チーム中谷育30位	26427 pt
チーム天空橋朋花1位	1044931 pt
チーム天空橋朋花2位	1001729 pt
チーム天空橋朋花3位	823726 pt
チーム天空橋朋花4位	740676 pt
チーム天空橋朋花5位	544820 pt
チーム天空橋朋花6位	485643 pt
チーム天空橋朋花7位	440560 pt
チーム天空橋朋花8位	404756 pt
チーム天空橋朋花9位	312343 pt
チーム天空橋朋花10位	284429 pt
チーム天空橋朋花11位	269139 pt
チーム天空橋朋花12位	264682 pt
チーム天空橋朋花13位	264306 pt
チーム天空橋朋花14位	264159 pt
チーム天空橋朋花15位	253212 pt
チーム天空橋朋花16位	249731 pt
チーム天空橋朋花17位	246168 pt
チーム天空橋朋花18位	240837 pt
チーム天空橋朋花19位	192907 pt
チーム天空橋朋花20位	182036 pt
チーム天空橋朋花21位	171437 pt
チーム天空橋朋花22位	159091 pt
チーム天空橋朋花23位	156670 pt
チーム天空橋朋花24位	152526 pt
チーム天空橋朋花25位	138451 pt
チーム天空橋朋花26位	129877 pt
チーム天空橋朋花27位	126044 pt
チーム天空橋朋花28位	111602 pt
チーム天空橋朋花29位	110882 pt
チーム天空橋朋花30位	109731 pt
チームエミリー1位	425999 pt
チームエミリー2位	337289 pt
チームエミリー3位	317871 pt
チームエミリー4位	224836 pt
チームエミリー5位	212955 pt
チームエミリー6位	209736 pt
チームエミリー7位	167944 pt
チームエミリー8位	161866 pt
チームエミリー9位	141666 pt
チームエミリー10位	112286 pt
チームエミリー11位	111099 pt
チームエミリー12位	106173 pt
チームエミリー13位	105201 pt
チームエミリー14位	102906 pt
チームエミリー15位	101922 pt
チームエミリー16位	97090 pt
チームエミリー17位	89497 pt
チームエミリー18位	83850 pt
チームエミリー19位	63367 pt
チームエミリー20位	62309 pt
チームエミリー21位	55320 pt
チームエミリー22位	54147 pt
チームエミリー23位	50968 pt
チームエミリー24位	50491 pt
チームエミリー25位	48556 pt
チームエミリー26位	47856 pt
チームエミリー27位	45213 pt
チームエミリー28位	43081 pt
チームエミリー29位	41727 pt
チームエミリー30位	40603 pt
チーム北沢志保1位	692317 pt
チーム北沢志保2位	488893 pt
チーム北沢志保3位	425642 pt
チーム北沢志保4位	336305 pt
チーム北沢志保5位	313090 pt
チーム北沢志保6位	300592 pt
チーム北沢志保7位	293197 pt
チーム北沢志保8位	268439 pt
チーム北沢志保9位	220683 pt
チーム北沢志保10位	215725 pt
チーム北沢志保11位	212562 pt
チーム北沢志保12位	203268 pt
チーム北沢志保13位	185187 pt
チーム北沢志保14位	181678 pt
チーム北沢志保15位	165343 pt
チーム北沢志保16位	156472 pt
チーム北沢志保17位	153134 pt
チーム北沢志保18位	146005 pt
チーム北沢志保19位	137075 pt
チーム北沢志保20位	130341 pt
チーム北沢志保21位	125669 pt
チーム北沢志保22位	122293 pt
チーム北沢志保23位	118020 pt
チーム北沢志保24位	117891 pt
チーム北沢志保25位	111606 pt
チーム北沢志保26位	108293 pt
チーム北沢志保27位	105335 pt
チーム北沢志保28位	104816 pt
チーム北沢志保29位	103023 pt
チーム北沢志保30位	100409 pt
チーム舞浜歩1位	300412 pt
チーム舞浜歩2位	292402 pt
チーム舞浜歩3位	288232 pt
チーム舞浜歩4位	222554 pt
チーム舞浜歩5位	214814 pt
チーム舞浜歩6位	204678 pt
チーム舞浜歩7位	199024 pt
チーム舞浜歩8位	168224 pt
チーム舞浜歩9位	120446 pt
チーム舞浜歩10位	117487 pt
チーム舞浜歩11位	115427 pt
チーム舞浜歩12位	103775 pt
チーム舞浜歩13位	103772 pt
チーム舞浜歩14位	90039 pt
チーム舞浜歩15位	84108 pt
チーム舞浜歩16位	70124 pt
チーム舞浜歩17位	68543 pt
チーム舞浜歩18位	65914 pt
チーム舞浜歩19位	64986 pt
チーム舞浜歩20位	64444 pt
チーム舞浜歩21位	61819 pt
チーム舞浜歩22位	61513 pt
チーム舞浜歩23位	60308 pt
チーム舞浜歩24位	59939 pt
チーム舞浜歩25位	56406 pt
チーム舞浜歩26位	49507 pt
チーム舞浜歩27位	39806 pt
チーム舞浜歩28位	38177 pt
チーム舞浜歩29位	36856 pt
チーム舞浜歩30位	30721 pt
チーム木下ひなた1位	262737 pt
チーム木下ひなた2位	241183 pt
チーム木下ひなた3位	227474 pt
チーム木下ひなた4位	214578 pt
チーム木下ひなた5位	190139 pt
チーム木下ひなた6位	151642 pt
チーム木下ひなた7位	137984 pt
チーム木下ひなた8位	103584 pt
チーム木下ひなた9位	100166 pt
チーム木下ひなた10位	88588 pt
チーム木下ひなた11位	80398 pt
チーム木下ひなた12位	79243 pt
チーム木下ひなた13位	72533 pt
チーム木下ひなた14位	69899 pt
チーム木下ひなた15位	69179 pt
チーム木下ひなた16位	69037 pt
チーム木下ひなた17位	65324 pt
チーム木下ひなた18位	62960 pt
チーム木下ひなた19位	62611 pt
チーム木下ひなた20位	56128 pt
チーム木下ひなた21位	52119 pt
チーム木下ひなた22位	48190 pt
チーム木下ひなた23位	46772 pt
チーム木下ひなた24位	46728 pt
チーム木下ひなた25位	45675 pt
チーム木下ひなた26位	43933 pt
チーム木下ひなた27位	41865 pt
チーム木下ひなた28位	41175 pt
チーム木下ひなた29位	39162 pt
チーム木下ひなた30位	38673 pt
チーム矢吹可奈1位	596424 pt
チーム矢吹可奈2位	484608 pt
チーム矢吹可奈3位	392848 pt
チーム矢吹可奈4位	387420 pt
チーム矢吹可奈5位	378712 pt
チーム矢吹可奈6位	333543 pt
チーム矢吹可奈7位	270127 pt
チーム矢吹可奈8位	228275 pt
チーム矢吹可奈9位	217681 pt
チーム矢吹可奈10位	214748 pt
チーム矢吹可奈11位	189085 pt
チーム矢吹可奈12位	184262 pt
チーム矢吹可奈13位	178985 pt
チーム矢吹可奈14位	172363 pt
チーム矢吹可奈15位	157540 pt
チーム矢吹可奈16位	154281 pt
チーム矢吹可奈17位	143455 pt
チーム矢吹可奈18位	143143 pt
チーム矢吹可奈19位	138353 pt
チーム矢吹可奈20位	117622 pt
チーム矢吹可奈21位	108612 pt
チーム矢吹可奈22位	94595 pt
チーム矢吹可奈23位	91899 pt
チーム矢吹可奈24位	79590 pt
チーム矢吹可奈25位	77882 pt
チーム矢吹可奈26位	76364 pt
チーム矢吹可奈27位	75664 pt
チーム矢吹可奈28位	67857 pt
チーム矢吹可奈29位	64751 pt
チーム矢吹可奈30位	59990 pt
チーム横山奈緒1位	787203 pt
チーム横山奈緒2位	509703 pt
チーム横山奈緒3位	284399 pt
チーム横山奈緒4位	281379 pt
チーム横山奈緒5位	236982 pt
チーム横山奈緒6位	204511 pt
チーム横山奈緒7位	198743 pt
チーム横山奈緒8位	197441 pt
チーム横山奈緒9位	195901 pt
チーム横山奈緒10位	181499 pt
チーム横山奈緒11位	181019 pt
チーム横山奈緒12位	160062 pt
チーム横山奈緒13位	150757 pt
チーム横山奈緒14位	148734 pt
チーム横山奈緒15位	141654 pt
チーム横山奈緒16位	138903 pt
チーム横山奈緒17位	134591 pt
チーム横山奈緒18位	134307 pt
チーム横山奈緒19位	129797 pt
チーム横山奈緒20位	124683 pt
チーム横山奈緒21位	121378 pt
チーム横山奈緒22位	113185 pt
チーム横山奈緒23位	107399 pt
チーム横山奈緒24位	107333 pt
チーム横山奈緒25位	104019 pt
チーム横山奈緒26位	101042 pt
チーム横山奈緒27位	93215 pt
チーム横山奈緒28位	92262 pt
チーム横山奈緒29位	87685 pt
チーム横山奈緒30位	82791 pt
チーム二階堂千鶴1位	780079 pt
チーム二階堂千鶴2位	370632 pt
チーム二階堂千鶴3位	321574 pt
チーム二階堂千鶴4位	182041 pt
チーム二階堂千鶴5位	181791 pt
チーム二階堂千鶴6位	172493 pt
チーム二階堂千鶴7位	168182 pt
チーム二階堂千鶴8位	152281 pt
チーム二階堂千鶴9位	149207 pt
チーム二階堂千鶴10位	138929 pt
チーム二階堂千鶴11位	130850 pt
チーム二階堂千鶴12位	82616 pt
チーム二階堂千鶴13位	79448 pt
チーム二階堂千鶴14位	76823 pt
チーム二階堂千鶴15位	70991 pt
チーム二階堂千鶴16位	65802 pt
チーム二階堂千鶴17位	65612 pt
チーム二階堂千鶴18位	64088 pt
チーム二階堂千鶴19位	63672 pt
チーム二階堂千鶴20位	56044 pt
チーム二階堂千鶴21位	55484 pt
チーム二階堂千鶴22位	54689 pt
チーム二階堂千鶴23位	53559 pt
チーム二階堂千鶴24位	50483 pt
チーム二階堂千鶴25位	49674 pt
チーム二階堂千鶴26位	47363 pt
チーム二階堂千鶴27位	47160 pt
チーム二階堂千鶴28位	47018 pt
チーム二階堂千鶴29位	45406 pt
チーム二階堂千鶴30位	44113 pt
チーム馬場このみ1位	1020333 pt
チーム馬場このみ2位	766627 pt
チーム馬場このみ3位	423603 pt
チーム馬場このみ4位	355775 pt
チーム馬場このみ5位	347721 pt
チーム馬場このみ6位	310283 pt
チーム馬場このみ7位	300158 pt
チーム馬場このみ8位	221406 pt
チーム馬場このみ9位	217187 pt
チーム馬場このみ10位	208863 pt
チーム馬場このみ11位	179494 pt
チーム馬場このみ12位	177739 pt
チーム馬場このみ13位	168189 pt
チーム馬場このみ14位	159380 pt
チーム馬場このみ15位	158591 pt
チーム馬場このみ16位	157652 pt
チーム馬場このみ17位	153313 pt
チーム馬場このみ18位	142462 pt
チーム馬場このみ19位	121914 pt
チーム馬場このみ20位	121883 pt
チーム馬場このみ21位	114265 pt
チーム馬場このみ22位	111222 pt
チーム馬場このみ23位	107279 pt
チーム馬場このみ24位	106119 pt
チーム馬場このみ25位	104098 pt
チーム馬場このみ26位	102282 pt
チーム馬場このみ27位	101326 pt
チーム馬場このみ28位	98059 pt
チーム馬場このみ29位	96078 pt
チーム馬場このみ30位	87050 pt
チーム大神環1位	781517 pt
チーム大神環2位	623149 pt
チーム大神環3位	532849 pt
チーム大神環4位	398325 pt
チーム大神環5位	225432 pt
チーム大神環6位	186925 pt
チーム大神環7位	168271 pt
チーム大神環8位	161499 pt
チーム大神環9位	151653 pt
チーム大神環10位	142814 pt
チーム大神環11位	132699 pt
チーム大神環12位	120400 pt
チーム大神環13位	119880 pt
チーム大神環14位	115744 pt
チーム大神環15位	106063 pt
チーム大神環16位	86499 pt
チーム大神環17位	85895 pt
チーム大神環18位	83299 pt
チーム大神環19位	80556 pt
チーム大神環20位	80417 pt
チーム大神環21位	69751 pt
チーム大神環22位	69370 pt
チーム大神環23位	67602 pt
チーム大神環24位	65304 pt
チーム大神環25位	58459 pt
チーム大神環26位	57819 pt
チーム大神環27位	55914 pt
チーム大神環28位	55689 pt
チーム大神環29位	54825 pt
チーム大神環30位	53944 pt
チーム大神環1位	781517 pt
チーム大神環2位	623149 pt
チーム大神環3位	532849 pt
チーム大神環4位	398325 pt
チーム大神環5位	225432 pt
チーム大神環6位	186925 pt
チーム大神環7位	168271 pt
チーム大神環8位	161499 pt
チーム大神環9位	151653 pt
チーム大神環10位	142814 pt
チーム大神環11位	132699 pt
