251位の春日未来pt	2118340 pt
254位の七尾百合子pt	2210789 pt
255位の七尾百合子pt	2209893 pt
256位の七尾百合子pt	2201610 pt
257位の七尾百合子pt	2120940 pt
258位の七尾百合子pt	2084316 pt
259位の七尾百合子pt	1989880 pt
260位の七尾百合子pt	1944780 pt
251位の高山紗代子pt	1959570 pt
252位の高山紗代子pt	1946556 pt
253位の高山紗代子pt	1897281 pt
254位の高山紗代子pt	1824781 pt
255位の高山紗代子pt	1802511 pt
256位の高山紗代子pt	1777529 pt
257位の高山紗代子pt	1758658 pt
258位の高山紗代子pt	1691521 pt
259位の高山紗代子pt	1668344 pt
260位の高山紗代子pt	1627992 pt
251位の松田亜利沙pt	1633374 pt
252位の松田亜利沙pt	1624631 pt
253位の松田亜利沙pt	1614401 pt
254位の松田亜利沙pt	1594078 pt
255位の松田亜利沙pt	1589241 pt
256位の松田亜利沙pt	1586651 pt
257位の松田亜利沙pt	1567612 pt
258位の松田亜利沙pt	1530995 pt
259位の松田亜利沙pt	1479556 pt
260位の松田亜利沙pt	1454895 pt
251位の高坂海美pt	2102132 pt
252位の高坂海美pt	2097951 pt
253位の高坂海美pt	2091235 pt
254位の高坂海美pt	2087499 pt
255位の高坂海美pt	2082391 pt
256位の高坂海美pt	2038252 pt
257位の高坂海美pt	2037437 pt
258位の高坂海美pt	2008539 pt
259位の高坂海美pt	2000000 pt
260位の高坂海美pt	1901933 pt
251位の中谷育pt	1480259 pt
252位の中谷育pt	1479326 pt
253位の中谷育pt	1465754 pt
254位の中谷育pt	1460851 pt
255位の中谷育pt	1459908 pt
256位の中谷育pt	1455421 pt
257位の中谷育pt	1452494 pt
258位の中谷育pt	1450043 pt
259位の中谷育pt	1443873 pt
260位の中谷育pt	1424634 pt
251位の天空橋朋花pt	2044988 pt
252位の天空橋朋花pt	2044635 pt
253位の天空橋朋花pt	2041896 pt
254位の天空橋朋花pt	2015555 pt
255位の天空橋朋花pt	2005361 pt
256位の天空橋朋花pt	2001473 pt
257位の天空橋朋花pt	2000360 pt
258位の天空橋朋花pt	1981353 pt
259位の天空橋朋花pt	1978877 pt
260位の天空橋朋花pt	1958930 pt
251位のエミリーpt	1503966 pt
252位のエミリーpt	1503615 pt
253位のエミリーpt	1502072 pt
254位のエミリーpt	1495679 pt
255位のエミリーpt	1476311 pt
256位のエミリーpt	1474878 pt
257位のエミリーpt	1472000 pt
258位のエミリーpt	1468800 pt
259位のエミリーpt	1468178 pt
260位のエミリーpt	1464421 pt
251位の北沢志保pt	2025871 pt
252位の北沢志保pt	2001675 pt
253位の北沢志保pt	1986005 pt
254位の北沢志保pt	1953230 pt
255位の北沢志保pt	1894483 pt
256位の北沢志保pt	1869494 pt
257位の北沢志保pt	1843706 pt
258位の北沢志保pt	1694414 pt
259位の北沢志保pt	1623049 pt
260位の北沢志保pt	1589234 pt
251位の舞浜歩pt	1187053 pt
252位の舞浜歩pt	1180304 pt
253位の舞浜歩pt	1171984 pt
254位の舞浜歩pt	1166988 pt
255位の舞浜歩pt	1159693 pt
256位の舞浜歩pt	1150254 pt
257位の舞浜歩pt	1150072 pt
258位の舞浜歩pt	1136030 pt
259位の舞浜歩pt	1131045 pt
260位の舞浜歩pt	1129296 pt
251位の木下ひなたpt	1292082 pt
252位の木下ひなたpt	1282774 pt
253位の木下ひなたpt	1275814 pt
254位の木下ひなたpt	1274494 pt
255位の木下ひなたpt	1271509 pt
256位の木下ひなたpt	1264564 pt
257位の木下ひなたpt	1261875 pt
258位の木下ひなたpt	1258984 pt
259位の木下ひなたpt	1258769 pt
260位の木下ひなたpt	1253087 pt
251位の矢吹可奈pt	1837866 pt
252位の矢吹可奈pt	1837049 pt
253位の矢吹可奈pt	1831092 pt
254位の矢吹可奈pt	1829518 pt
255位の矢吹可奈pt	1829266 pt
256位の矢吹可奈pt	1827769 pt
257位の矢吹可奈pt	1823976 pt
258位の矢吹可奈pt	1823913 pt
259位の矢吹可奈pt	1819427 pt
260位の矢吹可奈pt	1801326 pt
251位の横山奈緒pt	1465014 pt
252位の横山奈緒pt	1463422 pt
253位の横山奈緒pt	1462541 pt
254位の横山奈緒pt	1456101 pt
255位の横山奈緒pt	1455700 pt
256位の横山奈緒pt	1453280 pt
257位の横山奈緒pt	1451656 pt
258位の横山奈緒pt	1450019 pt
259位の横山奈緒pt	1446412 pt
260位の横山奈緒pt	1432962 pt
251位の二階堂千鶴pt	1701946 pt
252位の二階堂千鶴pt	1700129 pt
253位の二階堂千鶴pt	1685956 pt
254位の二階堂千鶴pt	1636011 pt
255位の二階堂千鶴pt	1618999 pt
256位の二階堂千鶴pt	1602344 pt
257位の二階堂千鶴pt	1585982 pt
258位の二階堂千鶴pt	1583262 pt
259位の二階堂千鶴pt	1537912 pt
260位の二階堂千鶴pt	1530363 pt
251位の馬場このみpt	1819209 pt
252位の馬場このみpt	1818097 pt
253位の馬場このみpt	1817520 pt
254位の馬場このみpt	1813511 pt
255位の馬場このみpt	1768668 pt
256位の馬場このみpt	1758326 pt
257位の馬場このみpt	1731535 pt
258位の馬場このみpt	1722530 pt
259位の馬場このみpt	1722427 pt
260位の馬場このみpt	1720645 pt
251位の大神環pt	1503164 pt
252位の大神環pt	1501717 pt
253位の大神環pt	1501216 pt
254位の大神環pt	1500144 pt
255位の大神環pt	1499454 pt
256位の大神環pt	1495236 pt
257位の大神環pt	1480140 pt
258位の大神環pt	1446115 pt
259位の大神環pt	1426526 pt
260位の大神環pt	1416264 pt
251位の豊川風花pt	1411922 pt
252位の豊川風花pt	1411644 pt
253位の豊川風花pt	1410330 pt
254位の豊川風花pt	1407952 pt
255位の豊川風花pt	1404918 pt
256位の豊川風花pt	1403283 pt
257位の豊川風花pt	1401762 pt
258位の豊川風花pt	1401096 pt
259位の豊川風花pt	1399829 pt
260位の豊川風花pt	1395823 pt
251位の宮尾美也pt	2015967 pt
252位の宮尾美也pt	2014550 pt
253位の宮尾美也pt	2001988 pt
254位の宮尾美也pt	1984473 pt
255位の宮尾美也pt	1982749 pt
256位の宮尾美也pt	1976115 pt
257位の宮尾美也pt	1972185 pt
258位の宮尾美也pt	1964724 pt
259位の宮尾美也pt	1956593 pt
260位の宮尾美也pt	1932812 pt
251位の福田のり子pt	1422384 pt
252位の福田のり子pt	1419387 pt
253位の福田のり子pt	1415781 pt
254位の福田のり子pt	1415599 pt
255位の福田のり子pt	1409505 pt
256位の福田のり子pt	1404583 pt
257位の福田のり子pt	1401626 pt
258位の福田のり子pt	1387276 pt
259位の福田のり子pt	1382340 pt
260位の福田のり子pt	1377991 pt
251位の真壁瑞希pt	1694902 pt
252位の真壁瑞希pt	1682894 pt
253位の真壁瑞希pt	1682405 pt
254位の真壁瑞希pt	1678120 pt
255位の真壁瑞希pt	1676805 pt
256位の真壁瑞希pt	1671664 pt
257位の真壁瑞希pt	1642382 pt
258位の真壁瑞希pt	1638750 pt
259位の真壁瑞希pt	1634842 pt
260位の真壁瑞希pt	1567700 pt
251位の篠宮可憐pt	1799625 pt
252位の篠宮可憐pt	1795378 pt
253位の篠宮可憐pt	1795304 pt
254位の篠宮可憐pt	1780395 pt
255位の篠宮可憐pt	1755962 pt
256位の篠宮可憐pt	1714646 pt
257位の篠宮可憐pt	1705577 pt
258位の篠宮可憐pt	1683684 pt
259位の篠宮可憐pt	1665764 pt
260位の篠宮可憐pt	1651005 pt
251位の百瀬莉緒pt	1639298 pt
252位の百瀬莉緒pt	1634811 pt
253位の百瀬莉緒pt	1627288 pt
254位の百瀬莉緒pt	1624992 pt
255位の百瀬莉緒pt	1622782 pt
256位の百瀬莉緒pt	1611262 pt
257位の百瀬莉緒pt	1607653 pt
258位の百瀬莉緒pt	1607389 pt
259位の百瀬莉緒pt	1599963 pt
260位の百瀬莉緒pt	1596065 pt
251位の永吉昴pt	1531613 pt
252位の永吉昴pt	1521639 pt
253位の永吉昴pt	1515725 pt
254位の永吉昴pt	1515485 pt
255位の永吉昴pt	1505478 pt
256位の永吉昴pt	1500000 pt
257位の永吉昴pt	1500000 pt
258位の永吉昴pt	1467667 pt
259位の永吉昴pt	1460282 pt
260位の永吉昴pt	1443703 pt
251位の北上麗花pt	1751799 pt
252位の北上麗花pt	1749418 pt
253位の北上麗花pt	1736223 pt
254位の北上麗花pt	1714750 pt
255位の北上麗花pt	1702420 pt
256位の北上麗花pt	1663461 pt
257位の北上麗花pt	1644151 pt
258位の北上麗花pt	1630598 pt
259位の北上麗花pt	1608302 pt
260位の北上麗花pt	1600149 pt
251位の周防桃子pt	2118403 pt
252位の周防桃子pt	2101150 pt
253位の周防桃子pt	2096362 pt
254位の周防桃子pt	2091030 pt
255位の周防桃子pt	2090307 pt
256位の周防桃子pt	2089139 pt
257位の周防桃子pt	2086763 pt
258位の周防桃子pt	2072830 pt
259位の周防桃子pt	2040131 pt
260位の周防桃子pt	1991752 pt
251位のジュリアpt	1649780 pt
252位のジュリアpt	1639356 pt
253位のジュリアpt	1632066 pt
254位のジュリアpt	1629583 pt
255位のジュリアpt	1608811 pt
256位のジュリアpt	1608572 pt
257位のジュリアpt	1607717 pt
258位のジュリアpt	1603820 pt
259位のジュリアpt	1602387 pt
260位のジュリアpt	1590869 pt
※03/26 22:29 集計時点のポイントです253位まで
