チーム春日未来1位	456795 pt
チーム中谷育22位	47196 pt
チーム中谷育23位	45550 pt
チーム中谷育24位	44790 pt
チーム中谷育25位	36926 pt
チーム中谷育26位	35237 pt
チーム中谷育27位	34077 pt
チーム中谷育28位	32804 pt
チーム中谷育29位	30967 pt
チーム中谷育30位	26427 pt
チーム天空橋朋花1位	1026963 pt
チーム天空橋朋花2位	1001729 pt
チーム天空橋朋花3位	805350 pt
チーム天空橋朋花4位	724490 pt
チーム天空橋朋花5位	531721 pt
チーム天空橋朋花6位	485643 pt
チーム天空橋朋花7位	440560 pt
チーム天空橋朋花8位	404756 pt
チーム天空橋朋花9位	312343 pt
チーム天空橋朋花10位	284429 pt
チーム天空橋朋花11位	269139 pt
チーム天空橋朋花12位	264682 pt
チーム天空橋朋花13位	264159 pt
チーム天空橋朋花14位	262628 pt
チーム天空橋朋花15位	253212 pt
チーム天空橋朋花16位	249731 pt
チーム天空橋朋花17位	246168 pt
チーム天空橋朋花18位	236930 pt
チーム天空橋朋花19位	186982 pt
チーム天空橋朋花20位	177912 pt
チーム天空橋朋花21位	170304 pt
チーム天空橋朋花22位	159091 pt
チーム天空橋朋花23位	156666 pt
チーム天空橋朋花24位	152526 pt
チーム天空橋朋花25位	138108 pt
チーム天空橋朋花26位	129877 pt
チーム天空橋朋花27位	126044 pt
チーム天空橋朋花28位	111602 pt
チーム天空橋朋花29位	109731 pt
チーム天空橋朋花30位	107432 pt
チームエミリー1位	425999 pt
チームエミリー2位	335517 pt
チームエミリー3位	306823 pt
チームエミリー4位	224836 pt
チームエミリー5位	212955 pt
チームエミリー6位	209736 pt
チームエミリー7位	167944 pt
チームエミリー8位	161866 pt
チームエミリー9位	141666 pt
チームエミリー10位	112286 pt
チームエミリー11位	111099 pt
チームエミリー12位	106173 pt
チームエミリー13位	105201 pt
チームエミリー14位	102904 pt
チームエミリー15位	99762 pt
チームエミリー16位	97090 pt
チームエミリー17位	89489 pt
チームエミリー18位	83850 pt
チームエミリー19位	63367 pt
チームエミリー20位	62309 pt
チームエミリー21位	55320 pt
チームエミリー22位	54141 pt
チームエミリー23位	50968 pt
チームエミリー24位	48544 pt
チームエミリー25位	46968 pt
チームエミリー26位	45844 pt
チームエミリー27位	45213 pt
チームエミリー28位	42145 pt
チームエミリー29位	41719 pt
チームエミリー30位	40603 pt
チーム北沢志保1位	692317 pt
チーム北沢志保2位	486896 pt
チーム北沢志保3位	419145 pt
チーム北沢志保4位	325543 pt
チーム北沢志保5位	313090 pt
チーム北沢志保6位	300592 pt
チーム北沢志保7位	293197 pt
チーム北沢志保8位	261648 pt
チーム北沢志保9位	220683 pt
チーム北沢志保10位	212562 pt
チーム北沢志保11位	211150 pt
チーム北沢志保12位	200068 pt
チーム北沢志保13位	185187 pt
チーム北沢志保14位	181678 pt
チーム北沢志保15位	165343 pt
チーム北沢志保16位	156462 pt
チーム北沢志保17位	153134 pt
チーム北沢志保18位	145672 pt
チーム北沢志保19位	137075 pt
チーム北沢志保20位	130341 pt
チーム北沢志保21位	125669 pt
チーム北沢志保22位	122293 pt
チーム北沢志保23位	113435 pt
チーム北沢志保24位	108427 pt
チーム北沢志保25位	108089 pt
チーム北沢志保26位	106087 pt
チーム北沢志保27位	105335 pt
チーム北沢志保28位	104601 pt
チーム北沢志保29位	103023 pt
チーム北沢志保30位	100409 pt
チーム舞浜歩1位	300412 pt
チーム舞浜歩2位	288115 pt
チーム舞浜歩3位	284223 pt
チーム舞浜歩4位	222554 pt
チーム舞浜歩5位	214814 pt
チーム舞浜歩6位	199758 pt
チーム舞浜歩7位	197589 pt
チーム舞浜歩8位	160308 pt
チーム舞浜歩9位	118470 pt
チーム舞浜歩10位	117487 pt
チーム舞浜歩11位	115427 pt
チーム舞浜歩12位	103775 pt
チーム舞浜歩13位	103772 pt
チーム舞浜歩14位	86581 pt
チーム舞浜歩15位	84108 pt
チーム舞浜歩16位	70124 pt
チーム舞浜歩17位	68543 pt
チーム舞浜歩18位	65581 pt
チーム舞浜歩19位	64986 pt
チーム舞浜歩20位	64444 pt
チーム舞浜歩21位	61819 pt
チーム舞浜歩22位	61513 pt
チーム舞浜歩23位	60308 pt
チーム舞浜歩24位	58116 pt
チーム舞浜歩25位	56406 pt
チーム舞浜歩26位	49233 pt
チーム舞浜歩27位	39806 pt
チーム舞浜歩28位	37838 pt
チーム舞浜歩29位	36856 pt
チーム舞浜歩30位	30721 pt
チーム木下ひなた1位	262737 pt
チーム木下ひなた2位	241183 pt
チーム木下ひなた3位	227474 pt
チーム木下ひなた4位	214578 pt
チーム木下ひなた5位	190139 pt
チーム木下ひなた6位	151642 pt
チーム木下ひなた7位	137984 pt
チーム木下ひなた8位	103584 pt
チーム木下ひなた9位	100166 pt
チーム木下ひなた10位	88588 pt
チーム木下ひなた11位	80398 pt
チーム木下ひなた12位	79243 pt
チーム木下ひなた13位	72533 pt
チーム木下ひなた14位	69899 pt
チーム木下ひなた15位	69054 pt
チーム木下ひなた16位	69037 pt
チーム木下ひなた17位	65324 pt
チーム木下ひなた18位	62960 pt
チーム木下ひなた19位	62611 pt
チーム木下ひなた20位	56128 pt
チーム木下ひなた21位	52078 pt
チーム木下ひなた22位	48190 pt
チーム木下ひなた23位	46728 pt
チーム木下ひなた24位	45675 pt
チーム木下ひなた25位	43933 pt
チーム木下ひなた26位	43568 pt
チーム木下ひなた27位	41865 pt
チーム木下ひなた28位	41175 pt
チーム木下ひなた29位	39162 pt
チーム木下ひなた30位	38673 pt
チーム矢吹可奈1位	592669 pt
チーム矢吹可奈2位	481482 pt
チーム矢吹可奈3位	390310 pt
チーム矢吹可奈4位	375012 pt
チーム矢吹可奈5位	372682 pt
チーム矢吹可奈6位	333543 pt
チーム矢吹可奈7位	270127 pt
チーム矢吹可奈8位	228275 pt
チーム矢吹可奈9位	217681 pt
チーム矢吹可奈10位	214748 pt
チーム矢吹可奈11位	187676 pt
チーム矢吹可奈12位	184262 pt
チーム矢吹可奈13位	178985 pt
チーム矢吹可奈14位	168458 pt
チーム矢吹可奈15位	157540 pt
チーム矢吹可奈16位	154238 pt
チーム矢吹可奈17位	143455 pt
チーム矢吹可奈18位	143143 pt
チーム矢吹可奈19位	138353 pt
チーム矢吹可奈20位	115400 pt
チーム矢吹可奈21位	108612 pt
チーム矢吹可奈22位	94595 pt
チーム矢吹可奈23位	91897 pt
チーム矢吹可奈24位	79590 pt
チーム矢吹可奈25位	77882 pt
チーム矢吹可奈26位	76364 pt
チーム矢吹可奈27位	75664 pt
チーム矢吹可奈28位	67857 pt
チーム矢吹可奈29位	60202 pt
チーム矢吹可奈30位	59990 pt
チーム横山奈緒1位	778230 pt
チーム横山奈緒2位	509703 pt
チーム横山奈緒3位	284399 pt
チーム横山奈緒4位	278719 pt
チーム横山奈緒5位	236896 pt
チーム横山奈緒6位	204511 pt
チーム横山奈緒7位	198743 pt
チーム横山奈緒8位	190806 pt
チーム横山奈緒9位	188271 pt
チーム横山奈緒10位	181499 pt
チーム横山奈緒11位	181019 pt
チーム横山奈緒12位	160062 pt
チーム横山奈緒13位	148734 pt
チーム横山奈緒14位	147299 pt
チーム横山奈緒15位	138903 pt
チーム横山奈緒16位	136377 pt
チーム横山奈緒17位	134451 pt
チーム横山奈緒18位	134307 pt
チーム横山奈緒19位	129797 pt
チーム横山奈緒20位	124683 pt
チーム横山奈緒21位	121378 pt
チーム横山奈緒22位	113185 pt
チーム横山奈緒23位	107399 pt
チーム横山奈緒24位	107333 pt
チーム横山奈緒25位	101042 pt
チーム横山奈緒26位	100769 pt
チーム横山奈緒27位	93215 pt
チーム横山奈緒28位	92262 pt
チーム横山奈緒29位	87685 pt
チーム横山奈緒30位	82791 pt
チーム二階堂千鶴1位	777024 pt
チーム二階堂千鶴2位	370632 pt
チーム二階堂千鶴3位	321574 pt
チーム二階堂千鶴4位	182041 pt
チーム二階堂千鶴5位	181791 pt
チーム二階堂千鶴6位	172493 pt
チーム二階堂千鶴7位	168182 pt
チーム二階堂千鶴8位	152281 pt
チーム二階堂千鶴9位	146269 pt
チーム二階堂千鶴10位	138929 pt
チーム二階堂千鶴11位	130850 pt
チーム二階堂千鶴12位	82616 pt
チーム二階堂千鶴13位	79448 pt
チーム二階堂千鶴14位	76815 pt
チーム二階堂千鶴15位	70811 pt
チーム二階堂千鶴16位	65802 pt
チーム二階堂千鶴17位	65612 pt
チーム二階堂千鶴18位	63672 pt
チーム二階堂千鶴19位	60884 pt
チーム二階堂千鶴20位	56044 pt
チーム二階堂千鶴21位	55484 pt
チーム二階堂千鶴22位	54283 pt
チーム二階堂千鶴23位	53559 pt
チーム二階堂千鶴24位	49674 pt
チーム二階堂千鶴25位	49601 pt
チーム二階堂千鶴26位	47363 pt
チーム二階堂千鶴27位	47160 pt
チーム二階堂千鶴28位	47018 pt
チーム二階堂千鶴29位	45406 pt
チーム二階堂千鶴30位	44113 pt
チーム馬場このみ1位	1020333 pt
チーム馬場このみ2位	763717 pt
チーム馬場このみ3位	423603 pt
チーム馬場このみ4位	355775 pt
チーム馬場このみ5位	343668 pt
チーム馬場このみ6位	310283 pt
チーム馬場このみ7位	293009 pt
チーム馬場このみ8位	221406 pt
チーム馬場このみ9位	217187 pt
チーム馬場このみ10位	208863 pt
チーム馬場このみ11位	177739 pt
チーム馬場このみ12位	177390 pt
チーム馬場このみ13位	168189 pt
チーム馬場このみ14位	159380 pt
チーム馬場このみ15位	158591 pt
チーム馬場このみ16位	157652 pt
チーム馬場このみ17位	153313 pt
チーム馬場このみ18位	142462 pt
チーム馬場このみ19位	121914 pt
チーム馬場このみ20位	118425 pt
チーム馬場このみ21位	114265 pt
チーム馬場このみ22位	110985 pt
チーム馬場このみ23位	107279 pt
チーム馬場このみ24位	106117 pt
チーム馬場このみ25位	104098 pt
チーム馬場このみ26位	101324 pt
チーム馬場このみ27位	98790 pt
チーム馬場このみ28位	95039 pt
チーム馬場このみ29位	94127 pt
チーム馬場このみ30位	87050 pt
チーム大神環1位	774291 pt
チーム大神環2位	623149 pt
チーム大神環3位	532849 pt
チーム大神環4位	398325 pt
チーム大神環5位	224775 pt
チーム大神環6位	186925 pt
チーム大神環7位	161922 pt
チーム大神環8位	161499 pt
チーム大神環9位	151653 pt
チーム大神環10位	142814 pt
チーム大神環11位	132699 pt
チーム大神環12位	120400 pt
チーム大神環13位	119880 pt
チーム大神環14位	115744 pt
チーム大神環15位	106063 pt
チーム大神環16位	86499 pt
チーム大神環17位	83299 pt
チーム大神環18位	80637 pt
チーム大神環19位	80556 pt
チーム大神環20位	80401 pt
チーム大神環21位	69370 pt
チーム大神環22位	67602 pt
チーム大神環23位	66483 pt
チーム大神環24位	63070 pt
チーム大神環25位	57819 pt
チーム大神環26位	55034 pt
チーム大神環27位	54900 pt
チーム大神環28位	54825 pt
チーム大神環29位	53944 pt
チーム大神環30位	53331 pt
チーム大神環1位	774291 pt
チーム大神環2位	623149 pt
チーム大神環3位	532849 pt
チーム大神環4位	398325 pt
チーム大神環5位	224775 pt
チーム大神環6位	186925 pt
チーム大神環7位	161922 pt
チーム大神環8位	161499 pt
チーム大神環9位	151653 pt
チーム大神環10位	142814 pt
チーム大神環11位	132699 pt
