チームA101位	2622832 pt
チームE104位	3445668 pt
チームE105位	3443842 pt
チームE106位	3432041 pt
チームE107位	3424116 pt
チームE108位	3417200 pt
チームE109位	3413177 pt
チームE110位	3403420 pt
チームE111位	3400205 pt
チームE112位	3389861 pt
チームE113位	3380795 pt
チームE114位	3370653 pt
チームE115位	3367983 pt
チームE116位	3360485 pt
チームE117位	3359704 pt
チームE118位	3347915 pt
チームE119位	3342448 pt
チームE120位	3326643 pt
チームE121位	3323517 pt
チームE122位	3316304 pt
チームE123位	3303683 pt
チームE124位	3291017 pt
チームE125位	3290268 pt
チームE126位	3261856 pt
チームE127位	3257544 pt
チームE128位	3243061 pt
チームE129位	3228087 pt
チームE130位	3186329 pt
チームF101位	5552920 pt
チームF102位	5540268 pt
チームF103位	5535091 pt
チームF104位	5527856 pt
チームF105位	5526188 pt
チームF106位	5513327 pt
チームF107位	5502390 pt
チームF108位	5497743 pt
チームF109位	5494511 pt
チームF110位	5491066 pt
チームF111位	5482624 pt
チームF112位	5481595 pt
チームF113位	5460125 pt
チームF114位	5451847 pt
チームF115位	5410220 pt
チームF116位	5385033 pt
チームF117位	5353269 pt
チームF118位	5336118 pt
チームF119位	5323675 pt
チームF120位	5295444 pt
チームF121位	5294933 pt
チームF122位	5270362 pt
チームF123位	5256565 pt
チームF124位	5236516 pt
チームF125位	5203824 pt
チームF126位	5195766 pt
チームF127位	5142690 pt
チームF128位	5101932 pt
チームF129位	5077848 pt
チームF130位	5074739 pt
チームG101位	2515150 pt
チームG102位	2510751 pt
チームG103位	2503061 pt
チームG104位	2498434 pt
チームG105位	2487350 pt
チームG106位	2485159 pt
チームG107位	2483288 pt
チームG108位	2482595 pt
チームG109位	2482503 pt
チームG110位	2481935 pt
チームG111位	2468799 pt
チームG112位	2467186 pt
チームG113位	2463212 pt
チームG114位	2452441 pt
チームG115位	2449303 pt
チームG116位	2445295 pt
チームG117位	2400428 pt
チームG118位	2395661 pt
チームG119位	2357672 pt
チームG120位	2353311 pt
チームG121位	2339695 pt
チームG122位	2326984 pt
チームG123位	2306231 pt
チームG124位	2305444 pt
チームG125位	2281461 pt
チームG126位	2260203 pt
チームG127位	2249947 pt
チームG128位	2166397 pt
チームG129位	2133079 pt
チームG130位	2116741 pt
チームH101位	3294635 pt
チームH102位	3290304 pt
チームH103位	3281457 pt
チームH104位	3280240 pt
チームH105位	3277235 pt
チームH106位	3273351 pt
チームH107位	3272028 pt
チームH108位	3269270 pt
チームH109位	3254007 pt
チームH110位	3252769 pt
チームH111位	3250271 pt
チームH112位	3249445 pt
チームH113位	3235635 pt
チームH114位	3233591 pt
チームH115位	3226681 pt
チームH116位	3224922 pt
チームH117位	3223754 pt
チームH118位	3216171 pt
チームH119位	3215644 pt
チームH120位	3211311 pt
チームH121位	3204264 pt
チームH122位	3200764 pt
チームH123位	3196616 pt
チームH124位	3194123 pt
チームH125位	3193372 pt
チームH126位	3187469 pt
チームH127位	3175513 pt
チームH128位	3166990 pt
チームH129位	3166028 pt
チームH130位	3165860 pt
チームI101位	3937591 pt
チームI102位	3936792 pt
チームI103位	3934517 pt
チームI104位	3930330 pt
チームI105位	3924507 pt
チームI106位	3922209 pt
チームI107位	3916924 pt
チームI108位	3914256 pt
チームI109位	3909076 pt
チームI110位	3905772 pt
チームI111位	3871649 pt
チームI112位	3860951 pt
チームI113位	3859917 pt
チームI114位	3851678 pt
チームI115位	3833180 pt
チームI116位	3828490 pt
チームI117位	3818060 pt
チームI118位	3810744 pt
チームI119位	3802994 pt
チームI120位	3772048 pt
チームI121位	3771763 pt
チームI122位	3758089 pt
チームI123位	3749227 pt
チームI124位	3728314 pt
チームI125位	3713311 pt
チームI126位	3707935 pt
チームI127位	3702950 pt
チームI128位	3663641 pt
チームI129位	3653446 pt
チームI130位	3650886 pt
チームJ101位	3669644 pt
チームJ102位	3667115 pt
チームJ103位	3660958 pt
チームJ104位	3659161 pt
チームJ105位	3656913 pt
チームJ106位	3656143 pt
チームJ107位	3637269 pt
チームJ108位	3636410 pt
チームJ109位	3624246 pt
チームJ110位	3620974 pt
チームJ111位	3617067 pt
チームJ112位	3603170 pt
チームJ113位	3602861 pt
チームJ114位	3563842 pt
チームJ115位	3549619 pt
チームJ116位	3547192 pt
チームJ117位	3544824 pt
チームJ118位	3542856 pt
チームJ119位	3533052 pt
チームJ120位	3529823 pt
チームJ121位	3508213 pt
チームJ122位	3507340 pt
チームJ123位	3502208 pt
チームJ124位	3499572 pt
チームJ125位	3492411 pt
チームJ126位	3480523 pt
チームJ127位	3474893 pt
チームJ128位	3460912 pt
チームJ129位	3450221 pt
チームJ130位	3438121 pt
※10/30 02:24 集計時点のポイントですBY SKDN
