146位のチームA pt	2,232,449 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,939,905 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:15 集計時点BY SKDN
100位のチームA pt	2,352,232 pt
100位のチームB pt	4,071,663 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,813,908 pt
100位のチームE pt	3,159,225 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,939,905 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:15 集計時点
100位のチームA pt	2,352,232 pt
100位のチームB pt	4,073,492 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,813,910 pt
100位のチームE pt	3,159,225 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,939,905 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:16 集計時点
100位のチームA pt	2,352,232 pt
100位のチームB pt	4,074,982 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,814,010 pt
100位のチームE pt	3,164,609 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,939,905 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:16 集計時点BY SKDN
100位のチームA pt	2,352,232 pt
100位のチームB pt	4,074,982 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,814,010 pt
100位のチームE pt	3,164,609 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,939,905 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:16 集計時点
100位のチームA pt	2,352,232 pt
100位のチームB pt	4,074,983 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,814,233 pt
100位のチームE pt	3,164,609 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,939,905 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:17 集計時点
100位のチームA pt	2,352,232 pt
100位のチームB pt	4,075,084 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,426 pt
100位のチームE pt	3,165,017 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,940,477 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:17 集計時点BY SKDN
100位のチームA pt	2,352,232 pt
100位のチームB pt	4,075,084 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,426 pt
100位のチームE pt	3,165,017 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,940,477 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:17 集計時点
100位のチームA pt	2,353,634 pt
100位のチームB pt	4,080,356 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,427 pt
100位のチームE pt	3,165,017 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,940,477 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:18 集計時点
100位のチームA pt	2,353,734 pt
100位のチームB pt	4,081,613 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,528 pt
100位のチームE pt	3,165,017 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:18 集計時点BY SKDN
100位のチームA pt	2,353,734 pt
100位のチームB pt	4,081,613 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,528 pt
100位のチームE pt	3,165,017 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:18 集計時点
100位のチームA pt	2,353,735 pt
100位のチームB pt	4,081,613 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,165,017 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:19 集計時点
100位のチームA pt	2,353,736 pt
100位のチームB pt	4,083,374 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,165,302 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:20 集計時点BY SKDN
100位のチームA pt	2,353,736 pt
100位のチームB pt	4,083,374 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,165,302 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:20 集計時点
100位のチームA pt	2,354,981 pt
100位のチームB pt	4,083,475 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,165,302 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:20 集計時点
100位のチームA pt	2,354,981 pt
100位のチームB pt	4,083,476 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,165,302 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:20 集計時点BY SKDN
100位のチームA pt	2,354,981 pt
100位のチームB pt	4,083,476 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,165,302 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:20 集計時点
100位のチームA pt	2,357,381 pt
100位のチームB pt	4,083,476 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,165,302 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:21 集計時点
100位のチームA pt	2,357,381 pt
100位のチームB pt	4,090,170 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,165,302 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:21 集計時点BY SKDN
100位のチームA pt	2,357,381 pt
100位のチームB pt	4,090,170 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,165,302 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:21 集計時点
100位のチームA pt	2,357,482 pt
100位のチームB pt	4,090,170 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,165,302 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:22 集計時点
100位のチームA pt	2,357,483 pt
100位のチームB pt	4,091,281 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,165,302 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:22 集計時点BY SKDN
100位のチームA pt	2,357,483 pt
100位のチームB pt	4,091,281 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,165,302 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:22 集計時点
100位のチームA pt	2,358,541 pt
100位のチームB pt	4,094,992 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,165,302 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:23 集計時点BY SKDN
100位のチームA pt	2,358,541 pt
100位のチームB pt	4,094,992 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,165,302 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:23 集計時点
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,095,093 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,165,302 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:24 集計時点
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,095,094 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,165,302 pt
100位のチームF pt	4,810,643 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:24 集計時点BY SKDN
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,095,094 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,165,302 pt
100位のチームF pt	4,810,643 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:24 集計時点
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,095,095 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,165,551 pt
100位のチームF pt	4,814,309 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:25 集計時点
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,099,644 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,165,653 pt
100位のチームF pt	4,814,309 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:25 集計時点BY SKDN
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,099,644 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,165,653 pt
100位のチームF pt	4,814,309 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:25 集計時点
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,101,171 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,169,305 pt
100位のチームF pt	4,814,309 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:26 集計時点
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,101,172 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,169,407 pt
100位のチームF pt	4,814,309 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:26 集計時点BY SKDN
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,101,172 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,169,407 pt
100位のチームF pt	4,814,309 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:26 集計時点
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,101,274 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,169,409 pt
100位のチームF pt	4,814,309 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:27 集計時点
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,101,375 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,814,309 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:27 集計時点BY SKDN
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,101,375 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,814,309 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:27 集計時点
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,101,375 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,816,591 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,816,045 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:28 集計時点
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,101,477 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,817,565 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,816,045 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:28 集計時点BY SKDN
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,101,477 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,817,565 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,816,045 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:28 集計時点
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,102,867 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,820,851 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,816,045 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:29 集計時点
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,102,968 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,824,851 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,816,045 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:29 集計時点BY SKDN
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,102,968 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,824,851 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,816,045 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:29 集計時点
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,102,969 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,826,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,816,892 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:30 集計時点
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,104,595 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,827,233 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,817,192 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:30 集計時点BY SKDN
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,104,595 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,827,233 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,817,192 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:30 集計時点
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,104,596 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,827,233 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,818,329 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:31 集計時点
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,104,698 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,828,376 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,825,294 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:31 集計時点BY SKDN
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,104,698 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,828,376 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,825,294 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:31 集計時点
100位のチームA pt	2,359,366 pt
100位のチームB pt	4,104,799 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,825,394 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:32 集計時点
100位のチームA pt	2,362,104 pt
100位のチームB pt	4,105,219 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,825,396 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:32 集計時点BY SKDN
100位のチームA pt	2,362,104 pt
100位のチームB pt	4,105,219 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,825,396 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:32 集計時点
100位のチームA pt	2,362,104 pt
100位のチームB pt	4,105,219 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,825,497 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:33 集計時点
100位のチームA pt	2,362,104 pt
100位のチームB pt	4,105,219 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,828,213 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:33 集計時点BY SKDN
100位のチームA pt	2,362,104 pt
100位のチームB pt	4,105,219 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,828,213 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:33 集計時点
100位のチームA pt	2,362,104 pt
100位のチームB pt	4,105,219 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,828,214 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:34 集計時点
100位のチームA pt	2,362,104 pt
