100位	72,019,207 pt
	1位	558,783,717 pt
10位	230,454,483 pt
	11位	225,161,082 pt
20位	141,306,990 pt
※11/03 17:59 集計時点 BYそくどん


100位	68,739,641 pt
500位	17,271,557 pt
1200位	3,567,247 pt
1300位	3,010,454 pt
1000位	5,128,061 pt
	1位	558,783,717 pt
10位	230,454,483 pt
	11位	225,161,082 pt
20位	141,306,990 pt
※11/03 17:58 集計時点 BYそくどん


100位	68,739,641 pt
500位	17,271,557 pt
1200位	3,530,563 pt
1300位	3,002,318 pt
1000位	5,113,640 pt
	1位	558,779,911 pt
10位	230,412,687 pt
	11位	225,160,946 pt
20位	141,306,990 pt
※11/03 17:56 集計時点 BYそくどん


100位	68,739,641 pt
500位	17,271,557 pt
1200位	3,530,563 pt
1300位	3,002,318 pt
1000位	5,113,640 pt
	1位	558,202,046 pt
10位	230,412,687 pt
	11位	225,160,946 pt
20位	141,306,990 pt
※11/03 17:55 集計時点 BYそくどん


100位	68,739,641 pt
500位	17,162,554 pt
1200位	3,530,306 pt
1300位	3,001,133 pt
1000位	5,113,640 pt
	1位	558,202,046 pt
10位	230,371,665 pt
	11位	224,829,208 pt
20位	141,306,990 pt
※11/03 17:53 集計時点 BYそくどん


100位	68,739,641 pt
500位	17,162,554 pt
1200位	3,517,081 pt
1300位	2,982,242 pt
1000位	5,073,727 pt
	1位	557,843,555 pt
10位	230,371,665 pt
	11位	224,829,208 pt
20位	141,306,990 pt
※11/03 17:51 集計時点 BYそくどん


100位	68,739,641 pt
500位	17,162,554 pt
1200位	3,513,345 pt
1300位	2,982,106 pt
1000位	5,046,079 pt
	1位	557,254,989 pt
10位	230,371,665 pt
	11位	224,829,208 pt
20位	141,306,990 pt
※11/03 17:50 集計時点 BYそくどん


100位	68,739,641 pt
500位	17,162,554 pt
1200位	3,509,937 pt
1300位	2,977,569 pt
1000位	5,044,170 pt
	1位	557,254,989 pt
10位	230,371,665 pt
	11位	224,829,208 pt
20位	141,306,990 pt
※11/03 17:49 集計時点 BYそくどん


100位	68,739,641 pt
500位	17,162,554 pt
1200位	3,509,937 pt
1300位	2,972,261 pt
1000位	5,044,170 pt
	1位	543,166,551 pt
10位	230,371,665 pt
	11位	224,597,008 pt
20位	141,306,990 pt
※11/03 17:48 集計時点 BYそくどん


100位	68,739,641 pt
500位	17,162,554 pt
1200位	3,503,583 pt
1300位	2,936,906 pt
1000位	5,014,510 pt
	1位	543,166,551 pt
10位	224,597,008 pt
	11位	224,342,007 pt
20位	141,306,990 pt
※11/03 17:46 集計時点 BYそくどん


100位	68,739,641 pt
500位	17,127,464 pt
1200位	3,492,198 pt
1300位	2,936,906 pt
1000位	5,014,510 pt
	1位	543,166,551 pt
10位	224,254,569 pt
	11位	223,394,950 pt
20位	141,306,990 pt
※11/03 17:45 集計時点 BYそくどん


100位	68,739,641 pt
500位	17,127,464 pt
1200位	3,492,198 pt
1300位	2,933,539 pt
1000位	4,954,106 pt
	1位	543,166,551 pt
10位	224,254,569 pt
	11位	222,646,370 pt
20位	141,306,990 pt
※11/03 17:43 集計時点 BYそくどん


100位	68,739,641 pt
500位	17,072,639 pt
1200位	3,481,271 pt
1300位	2,929,340 pt
1000位	4,941,392 pt
	1位	543,166,551 pt
10位	223,821,170 pt
	11位	222,646,370 pt
20位	141,306,990 pt
※11/03 17:41 集計時点 BYそくどん


100位	68,739,641 pt
500位	17,071,575 pt
1200位	3,470,040 pt
1300位	2,928,276 pt
1000位	4,941,392 pt
	1位	543,166,551 pt
10位	223,821,170 pt
	11位	222,646,370 pt
20位	141,306,990 pt
※11/03 17:40 集計時点 BYそくどん


100位	68,739,641 pt
500位	17,071,575 pt
1200位	3,460,248 pt
1300位	2,928,276 pt
1000位	4,941,392 pt
	1位	543,166,551 pt
10位	223,821,170 pt
	11位	222,646,370 pt
20位	141,306,990 pt
※11/03 17:39 集計時点 BYそくどん


100位	68,739,641 pt
500位	17,056,733 pt
1200位	3,450,711 pt
1300位	2,911,202 pt
1000位	4,934,814 pt
	1位	543,166,551 pt
10位	223,821,170 pt
	11位	222,646,370 pt
20位	141,306,990 pt
※11/03 17:38 集計時点 BYそくどん


100位	68,739,641 pt
500位	17,056,733 pt
1200位	3,446,376 pt
1300位	2,905,386 pt
1000位	4,934,814 pt
	1位	542,808,060 pt
10位	223,743,770 pt
	11位	221,472,298 pt
20位	141,306,990 pt
※11/03 17:36 集計時点 BYそくどん


100位	68,739,641 pt
500位	16,990,403 pt
1200位	3,441,524 pt
1300位	2,904,921 pt
1000位	4,923,415 pt
	1位	542,808,060 pt
10位	223,743,770 pt
	11位	221,129,590 pt
20位	141,306,990 pt
※11/03 17:35 集計時点 BYそくどん


100位	68,068,755 pt
500位	16,990,403 pt
1200位	3,429,183 pt
1300位	2,902,958 pt
1000位	4,917,949 pt
	1位	542,438,868 pt
10位	223,743,770 pt
	11位	221,069,218 pt
20位	141,306,990 pt
※11/03 17:33 集計時点 BYそくどん


100位	68,068,755 pt
500位	16,822,803 pt
1200位	3,366,029 pt
1300位	2,875,372 pt
1000位	4,911,614 pt
	1位	542,080,377 pt
10位	223,743,770 pt
	11位	218,544,675 pt
20位	141,306,990 pt
※11/03 17:31 集計時点 BYそくどん


100位	68,068,755 pt
500位	16,804,059 pt
1200位	3,365,678 pt
1300位	2,868,721 pt
1000位	4,911,478 pt
	1位	542,080,377 pt
10位	223,026,788 pt
	11位	217,114,179 pt
20位	141,306,990 pt
※11/03 17:30 集計時点 BYそくどん


100位	68,068,755 pt
500位	16,804,059 pt
1200位	3,365,678 pt
1300位	2,868,721 pt
1000位	4,911,478 pt
	1位	542,080,377 pt
10位	222,871,988 pt
	11位	216,434,652 pt
20位	141,306,990 pt
※11/03 17:29 集計時点 BYそくどん


100位	68,068,755 pt
500位	16,804,059 pt
1200位	3,365,678 pt
1300位	2,868,721 pt
1000位	4,896,374 pt
	1位	541,711,185 pt
10位	222,717,188 pt
	11位	216,085,752 pt
20位	141,306,990 pt
※11/03 17:28 集計時点 BYそくどん


100位	68,068,755 pt
500位	16,749,805 pt
1200位	3,365,678 pt
1300位	2,867,729 pt
1000位	4,883,183 pt
	1位	541,711,185 pt
10位	221,615,331 pt
	11位	215,064,224 pt
20位	141,265,258 pt
※11/03 17:26 集計時点 BYそくどん


100位	67,935,724 pt
500位	16,749,805 pt
1200位	3,360,671 pt
1300位	2,867,729 pt
1000位	4,874,128 pt
	1位	541,711,185 pt
10位	220,971,134 pt
	11位	214,669,355 pt
20位	141,265,258 pt
※11/03 17:25 集計時点 BYそくどん


100位	67,935,724 pt
500位	16,727,217 pt
1200位	3,345,227 pt
1300位	2,863,117 pt
1000位	4,857,041 pt
	1位	541,711,185 pt
10位	219,847,875 pt
	11位	213,895,030 pt
20位	141,217,312 pt
※11/03 17:23 集計時点 BYそくどん


100位	67,792,012 pt
500位	16,678,286 pt
1200位	3,344,079 pt
1300位	2,853,121 pt
1000位	4,835,238 pt
	1位	541,711,185 pt
10位	219,460,875 pt
	11位	211,370,551 pt
20位	140,933,594 pt
※11/03 17:21 集計時点 BYそくどん


100位	67,661,060 pt
500位	16,644,448 pt
1200位	3,332,269 pt
1300位	2,852,738 pt
1000位	4,827,050 pt
	1位	541,711,185 pt
10位	219,080,982 pt
	11位	207,097,828 pt
20位	140,933,594 pt
※11/03 17:20 集計時点 BYそくどん


100位	67,661,060 pt
500位	16,644,448 pt
1200位	3,332,269 pt
1300位	2,852,738 pt
1000位	4,826,704 pt
	1位	541,711,185 pt
10位	219,080,982 pt
	11位	207,097,828 pt
20位	140,933,594 pt
※11/03 17:19 集計時点 BYそくどん


100位	67,661,060 pt
500位	16,605,333 pt
1200位	3,322,127 pt
1300位	2,842,193 pt
1000位	4,814,601 pt
	1位	541,711,185 pt
10位	219,080,982 pt
	11位	207,097,828 pt
20位	140,933,594 pt
※11/03 17:18 集計時点 BYそくどん


100位	67,352,226 pt
500位	16,605,333 pt
1200位	3,300,974 pt
1300位	2,834,080 pt
1000位	4,745,867 pt
	1位	541,133,320 pt
10位	219,080,982 pt
	11位	207,056,806 pt
20位	140,933,594 pt
※11/03 17:16 集計時点 BYそくどん


100位	67,321,308 pt
500位	16,604,153 pt
1200位	3,298,068 pt
1300位	2,825,729 pt
1000位	4,745,867 pt
	1位	541,133,320 pt
10位	219,080,982 pt
	11位	207,009,592 pt
20位	140,933,594 pt
※11/03 17:15 集計時点 BYそくどん


100位	67,321,308 pt
500位	16,526,046 pt
1200位	3,297,650 pt
1300位	2,825,729 pt
1000位	4,745,867 pt
	1位	541,133,320 pt
10位	219,080,982 pt
	11位	201,346,563 pt
20位	140,933,594 pt
※11/03 17:13 集計時点 BYそくどん


100位	67,321,308 pt
500位	16,506,775 pt
1200位	3,285,041 pt
1300位	2,816,323 pt
1000位	4,726,102 pt
	1位	540,764,128 pt
10位	219,080,982 pt
	11位	198,325,352 pt
20位	140,933,594 pt
※11/03 17:11 集計時点 BYそくどん


100位	67,005,600 pt
500位	16,506,775 pt
1200位	3,283,130 pt
1300位	2,814,764 pt
1000位	4,712,594 pt
	1位	540,764,128 pt
10位	219,080,982 pt
	11位	197,956,160 pt
20位	140,933,594 pt
※11/03 17:10 集計時点 BYそくどん


100位	67,005,600 pt
500位	16,506,775 pt
1200位	3,283,130 pt
1300位	2,814,764 pt
1000位	4,707,656 pt
	1位	540,764,128 pt
10位	217,356,445 pt
	11位	195,184,664 pt
20位	140,933,594 pt
※11/03 17:09 集計時点 BYそくどん


100位	66,711,317 pt
500位	16,506,775 pt
1200位	3,274,487 pt
1300位	2,810,081 pt
1000位	4,707,656 pt
	1位	540,764,128 pt
10位	217,356,445 pt
	11位	195,184,664 pt
20位	140,933,594 pt
※11/03 17:08 集計時点 BYそくどん


100位	66,224,412 pt
500位	16,505,643 pt
1200位	3,274,487 pt
1300位	2,808,043 pt
1000位	4,679,018 pt
	1位	540,764,128 pt
10位	217,356,445 pt
	11位	195,184,664 pt
20位	140,933,594 pt
※11/03 17:06 集計時点 BYそくどん


100位	66,224,412 pt
500位	16,505,643 pt
1200位	3,268,468 pt
1300位	2,808,043 pt
1000位	4,679,018 pt
	1位	540,764,128 pt
10位	217,356,445 pt
	11位	195,184,664 pt
20位	140,933,594 pt
※11/03 17:05 集計時点 BYそくどん


100位	66,224,412 pt
500位	16,505,643 pt
1200位	3,268,468 pt
1300位	2,796,724 pt
1000位	4,679,018 pt
	1位	540,764,128 pt
10位	217,356,445 pt
	11位	195,184,664 pt
20位	140,933,594 pt
※11/03 17:03 集計時点 BYそくどん


100位	65,753,001 pt
500位	16,505,643 pt
1200位	3,268,468 pt
1300位	2,796,724 pt
1000位	4,675,490 pt
	1位	540,186,263 pt
10位	216,275,515 pt
	11位	195,184,664 pt
20位	140,933,594 pt
※11/03 17:01 集計時点 BYそくどん


100位	65,748,693 pt
500位	16,505,643 pt
1200位	3,264,922 pt
1300位	2,792,995 pt
1000位	4,673,078 pt
	1位	539,608,398 pt
10位	201,796,778 pt
	11位	195,102,620 pt
20位	140,933,594 pt
※11/03 17:00 集計時点 BYそくどん


100位	65,748,693 pt
500位	16,505,643 pt
1200位	3,264,922 pt
1300位	2,792,995 pt
1000位	4,673,078 pt
	1位	539,608,398 pt
10位	201,796,778 pt
	11位	193,023,998 pt
20位	140,933,594 pt
※11/03 16:59 集計時点 BYそくどん


100位	65,379,016 pt
500位	16,503,306 pt
1200位	3,264,922 pt
1300位	2,786,603 pt
1000位	4,673,078 pt
	1位	539,608,398 pt
10位	199,145,902 pt
	11位	193,023,998 pt
20位	140,933,594 pt
※11/03 16:58 集計時点 BYそくどん


100位	65,379,016 pt
500位	16,503,306 pt
1200位	3,264,922 pt
1300位	2,786,603 pt
1000位	4,670,174 pt
	1位	539,608,398 pt
10位	199,057,604 pt
	11位	193,023,998 pt
20位	140,933,594 pt
※11/03 16:56 集計時点 BYそくどん


100位	65,246,950 pt
500位	16,357,532 pt
1200位	3,252,401 pt
1300位	2,781,247 pt
1000位	4,659,687 pt
	1位	539,608,398 pt
10位	193,034,957 pt
	11位	193,023,998 pt
20位	140,933,594 pt
※11/03 16:55 集計時点 BYそくどん


100位	65,246,950 pt
500位	16,357,532 pt
1200位	3,252,401 pt
1300位	2,780,907 pt
1000位	4,659,687 pt
	1位	539,608,398 pt
10位	193,034,957 pt
	11位	193,023,998 pt
20位	140,933,594 pt
※11/03 16:53 集計時点 BYそくどん


100位	65,227,099 pt
500位	16,341,082 pt
1200位	3,252,401 pt
1300位	2,778,920 pt
1000位	4,648,095 pt
	1位	532,904,089 pt
10位	193,023,998 pt
	11位	192,966,051 pt
20位	140,933,594 pt
※11/03 16:51 集計時点 BYそくどん


100位	65,075,662 pt
500位	16,268,683 pt
1200位	3,252,401 pt
1300位	2,778,533 pt
1000位	4,645,394 pt
	1位	530,977,871 pt
10位	192,893,401 pt
	11位	192,702,962 pt
20位	140,933,594 pt
※11/03 16:50 集計時点 BYそくどん


100位	65,075,662 pt
500位	16,268,683 pt
1200位	3,219,038 pt
1300位	2,778,533 pt
1000位	4,645,394 pt
	1位	530,977,871 pt
10位	192,846,125 pt
	11位	192,672,776 pt
20位	140,933,594 pt
※11/03 16:49 集計時点 BYそくどん


100位	65,075,662 pt
500位	16,268,683 pt
1200位	3,219,038 pt
1300位	2,778,090 pt
1000位	4,572,095 pt
	1位	530,977,871 pt
10位	192,846,125 pt
	11位	192,672,776 pt
20位	140,933,594 pt
※11/03 16:48 集計時点 BYそくどん


100位	65,075,662 pt
500位	16,268,683 pt
1200位	3,189,377 pt
1300位	2,774,252 pt
1000位	4,565,608 pt
	1位	530,977,871 pt
10位	192,428,785 pt
	11位	191,102,219 pt
20位	140,933,594 pt
※11/03 16:46 集計時点 BYそくどん


100位	64,988,151 pt
500位	16,140,955 pt
1200位	3,168,070 pt
1300位	2,769,680 pt
1000位	4,565,608 pt
	1位	530,977,871 pt
10位	192,403,175 pt
	11位	191,102,015 pt
20位	140,933,594 pt
※11/03 16:45 集計時点 BYそくどん


100位	64,988,151 pt
500位	16,140,955 pt
1200位	3,151,253 pt
1300位	2,760,182 pt
1000位	4,565,608 pt
	1位	530,977,871 pt
10位	192,356,735 pt
	11位	191,102,015 pt
20位	140,933,594 pt
※11/03 16:43 集計時点 BYそくどん


100位	64,988,151 pt
500位	16,131,853 pt
1200位	3,144,308 pt
1300位	2,752,309 pt
1000位	4,552,772 pt
	1位	530,400,006 pt
10位	192,253,149 pt
	11位	191,102,015 pt
20位	140,933,594 pt
※11/03 16:41 集計時点 BYそくどん


100位	64,738,574 pt
500位	16,131,227 pt
1200位	3,129,179 pt
1300位	2,752,309 pt
1000位	4,552,772 pt
	1位	530,041,515 pt
10位	192,230,509 pt
	11位	191,102,015 pt
20位	140,933,594 pt
※11/03 16:40 集計時点 BYそくどん


100位	64,738,574 pt
500位	16,131,227 pt
1200位	3,129,179 pt
1300位	2,752,309 pt
1000位	4,551,774 pt
	1位	530,041,515 pt
10位	192,230,509 pt
	11位	191,102,015 pt
20位	140,933,594 pt
